2,3,9															
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	Vietnamese	EN	CEN	Edited JP	CDE	Romaji (Phonetics)	Column2
vo_eny_eny_	enemy_00_	alarm_local_05	vo_eny_eny_enemy_00_alarm_local_05	omuk	hambo	Enemy	urgent, tense	calls for backup	Lính đâu!	Men!	1		0		
vo_eny_eny_	enemy_00_	alarm_local_06	vo_eny_eny_enemy_00_alarm_local_06	omuk	hambo	Enemy	urgent, tense	curses	Chết tiệt!	Damn!	1		0		
vo_eny_eny_	enemy_00_	alarm_stop_00	vo_eny_eny_enemy_00_alarm_stop_00	omuk	hambo	Enemy	commanding	end of alarm	Chúng đã trốn thoát! Tắt báo động đi.	They have escaped! Stop the alarm.	6	JAPANESE	1		
vo_eny_eny_	enemy_00_	alarm_stop_01	vo_eny_eny_enemy_00_alarm_stop_01	omuk	hambo	Enemy	commanding	end of alarm	Hết rồi! Về vị trí đi.	It is over! Back to routine.	6		0		
vo_eny_eny_	enemy_00_	alarm_stop_02	vo_eny_eny_enemy_00_alarm_stop_02	omuk	hambo	Enemy	commanding	end of alarm	Chúng đã chạy trốn! Ngưng báo động đi!	They must have fled! Cease the alarm!	7		0		
vo_eny_eny_	enemy_00_	alarm_stop_03	vo_eny_eny_enemy_00_alarm_stop_03	omuk	hambo	Enemy	commanding	end of alarm	Không còn nguy hiểm! Yên tâm đi mọi người.	No danger! At ease, everyone.	5		0		
vo_eny_eny_	enemy_00_	alarm_stop_04	vo_eny_eny_enemy_00_alarm_stop_04	omuk	hambo	Enemy	commanding	end of alarm	Chúng ta đã đuổi hắn đi!	We have driven them off!	5		0		
vo_eny_eny_	enemy_00_	alarm_stop_05	vo_eny_eny_enemy_00_alarm_stop_05	omuk	hambo	Enemy	commanding	end of alarm	Tất cả trống!	All clear!	2		0		
vo_eny_eny_	enemy_00_	carry_object_00	vo_eny_eny_enemy_00_carry_object_00	omuk		Enemy		(sound) carries heavy object			0		0		
vo_eny_eny_	enemy_00_	clear_throat_00	vo_eny_eny_enemy_00_clear_throat_00	omuk		Enemy		(sound) clears throat			0		0		
vo_eny_eny_	enemy_00_	cough_00	vo_eny_eny_enemy_00_cough_00	omuk		Enemy		(sound) coughs			0		0		
vo_eny_eny_	enemy_00_	danger_toohigh_00	vo_eny_eny_enemy_00_danger_toohigh_00	omuk	hambo	Enemy	angry	has seen a player far above him	Hắn ở trên đó!	They are up there!	4		0		
vo_eny_eny_	enemy_00_	danger_toohigh_01	vo_eny_eny_enemy_00_danger_toohigh_01	omuk	hambo	Enemy	angry	has seen a player far above him	Hắn ở phía trên chúng ta!	They are above us!	4		0		
vo_eny_eny_	enemy_00_	danger_toohigh_02	vo_eny_eny_enemy_00_danger_toohigh_02	omuk	hambo	Enemy	angry	has seen a player far above him	Hắn tấn công từ phía trên!	They're attacking from above!	4		0		
vo_eny_eny_	enemy_00_	danger_unreachable_00	vo_eny_eny_enemy_00_danger_unreachable_00	omuk	hambo	Enemy	angry	has seen a player, but can't get to that spot	Hèn nhát! Xuống chiến đấu như người đàn ông xem!	Cowards! Fight like men!	4	JAPANESE	1		
vo_eny_eny_	enemy_00_	danger_unreachable_01	vo_eny_eny_enemy_00_danger_unreachable_01	omuk	hambo	Enemy	angry	has seen a player, but can't get to that spot	Hắn lên đó bằng cách nào?	How did they get there?	5		0		
vo_eny_eny_	enemy_00_	danger_unreachable_02	vo_eny_eny_enemy_00_danger_unreachable_02	omuk	hambo	Enemy	angry	has seen a player, but can't get to that spot	Tao không thể lên với mày…	I cannot reach them…	4		0		
vo_eny_eny_	enemy_00_	death_scream_00	vo_eny_eny_enemy_00_death_scream_00	omuk	hambo	Enemy	shocked	(sound) short deathsound			0	JAPANESE	1		
vo_eny_eny_	enemy_00_	death_scream_01	vo_eny_eny_enemy_00_death_scream_01	omuk	hambo	Enemy	shocked	(sound) short deathsound			0	JAPANESE	1		
vo_eny_eny_	enemy_00_	death_scream_02	vo_eny_eny_enemy_00_death_scream_02	omuk	hambo	Enemy	shocked	(sound) short deathsound			0	JAPANESE	1		
vo_eny_eny_	enemy_00_	death_scream_03	vo_eny_eny_enemy_00_death_scream_03	omuk	hambo	Enemy	shocked	(sound) short deathsound			0	JAPANESE	1		
vo_eny_eny_	enemy_00_	death_scream_04	vo_eny_eny_enemy_00_death_scream_04	omuk	hambo	Enemy	shocked	(sound) short deathsound			0	JAPANESE	1		
vo_eny_eny_	enemy_00_	death_scream_muffled_00	vo_eny_eny_enemy_00_death_scream_muffled_00	omuk	hambo	Enemy	struggling	(sound) muffled deathsound			0	JAPANESE	1		
vo_eny_eny_	enemy_00_	death_scream_muffled_01	vo_eny_eny_enemy_00_death_scream_muffled_01	omuk	hambo	Enemy	struggling	(sound) muffled deathsound			0	JAPANESE	1		
vo_eny_eny_	enemy_00_	death_scream_muffled_02	vo_eny_eny_enemy_00_death_scream_muffled_02	omuk	hambo	Enemy	struggling	(sound) muffled deathsound			0	JAPANESE	1		
vo_eny_eny_	enemy_00_	death_scream_muffled_03	vo_eny_eny_enemy_00_death_scream_muffled_03	omuk	hambo	Enemy	struggling	(sound) muffled deathsound			0	JAPANESE	1		
vo_eny_eny_	enemy_00_	death_scream_muffled_04	vo_eny_eny_enemy_00_death_scream_muffled_04	omuk	hambo	Enemy	struggling	(sound) muffled deathsound			0	JAPANESE	1		
vo_eny_eny_	enemy_00_	detect_corpse_female_02	vo_eny_eny_enemy_00_detect_corpse_female_02	omuk		Enemy	shocked	sees a corpse	Cô ấy đã chết!	She's dead!	2		0		
vo_eny_eny_	enemy_00_	detect_corpse_female_03	vo_eny_eny_enemy_00_detect_corpse_female_03	omuk		Enemy	shocked	sees a corpse	Chúng đã giết cô ấy!	They killed her!	3		0		
vo_eny_eny_	enemy_00_	detect_corpse_male_00	vo_eny_eny_enemy_00_detect_corpse_male_00	omuk		Enemy	shocked	sees a corpse	Anh ta đã chết!	He is dead!	3	JAPANESE	1		
vo_eny_eny_	enemy_00_	detect_corpse_male_01	vo_eny_eny_enemy_00_detect_corpse_male_01	omuk		Enemy	shocked	sees a corpse	Chúng đã giết anh ta!	They killed him!	3		0		
vo_eny_eny_	enemy_00_	detect_corpse_neutral_02	vo_eny_eny_enemy_00_detect_corpse_neutral_02	omuk	hambo	Enemy	shocked	sees a corpse	Có người chết!	Murder!	1		0		
vo_eny_eny_	enemy_00_	detect_corpse_neutral_03	vo_eny_eny_enemy_00_detect_corpse_neutral_03	omuk	hambo	Enemy	shocked	sees a corpse	Sát thủ bây ơi!	Assassins!	1		0		
vo_eny_eny_	enemy_00_	detect_footsteps_00	vo_eny_eny_enemy_00_detect_footsteps_00	omuk	hambo	Enemy	suspicious	sees player footprints	Huh? Dấu chân…	Huh? Footprints…	2	JAPANESE	1		
vo_eny_eny_	enemy_00_	detect_footsteps_01	vo_eny_eny_enemy_00_detect_footsteps_01	omuk	hambo	Enemy	suspicious	sees player footprints	Ai để lại dấu chân này?	Who made those footprints?	4		0		
vo_eny_eny_	enemy_00_	detect_footsteps_02	vo_eny_eny_enemy_00_detect_footsteps_02	omuk	hambo	Enemy	suspicious	sees player footprints	Dấu vết này là của ai?	Who left those tracks?	4		0		
vo_eny_eny_	enemy_00_	detect_footsteps_03	vo_eny_eny_enemy_00_detect_footsteps_03	omuk	hambo	Enemy	suspicious	sees player footprints	Dấu vết của kẻ lạ mặt!	Those tracks are foreign!	4		0		
vo_eny_eny_	enemy_00_	detect_footsteps_04	vo_eny_eny_enemy_00_detect_footsteps_04	omuk	hambo	Enemy	suspicious	sees player footprints	Có kẻ lén lút ở quanh đây?	Is someone sneaking around?	4		0		
vo_eny_eny_	enemy_00_	detect_lightsource_00	vo_eny_eny_enemy_00_detect_lightsource_00	omuk	hambo	Enemy	slightly irritated	sees extiguished lamp	Lửa đã tắt…	The light went out…	4	JAPANESE	1		
vo_eny_eny_	enemy_00_	detect_lightsource_01	vo_eny_eny_enemy_00_detect_lightsource_01	omuk	hambo	Enemy	slightly irritated	sees extiguished lamp	Gió giết chết ngọn lửa.	Wind killed the flame.	4		0		
vo_eny_eny_	enemy_00_	detect_lightsource_02	vo_eny_eny_enemy_00_detect_lightsource_02	omuk	hambo	Enemy	slightly irritated	sees extiguished lamp	Lửa sẽ được thắp lại.	That light should be burning.	5		0		
vo_eny_eny_	enemy_00_	detect_lightsource_03	vo_eny_eny_enemy_00_detect_lightsource_03	omuk	hambo	Enemy	slightly irritated	sees extiguished lamp	Thằng lính nào không canh chừng ngọn lửa này.	Someone was careless with the lamp.	6		0		
vo_eny_eny_	enemy_00_	detect_lightsource_04	vo_eny_eny_enemy_00_detect_lightsource_04	omuk	hambo	Enemy	slightly irritated	sees extiguished lamp	Lửa đã tàn…	The fire died…	3		0		
vo_eny_eny_	enemy_00_	detect_player_00	vo_eny_eny_enemy_00_detect_player_00	omuk	hambo	Enemy	agressive	sees a player character	Cấm di chuyển!	Don't move!	2	JAPANESE	1		
vo_eny_eny_	enemy_00_	detect_player_01	vo_eny_eny_enemy_00_detect_player_01	omuk	hambo	Enemy	agressive	sees a player character	Đứng yên!	Stop!	1		0		
vo_eny_eny_	enemy_00_	detect_player_02	vo_eny_eny_enemy_00_detect_player_02	omuk	hambo	Enemy	agressive	sees a player character	Dừng lại!	Halt!	1		0		
vo_eny_eny_	enemy_00_	detect_player_03	vo_eny_eny_enemy_00_detect_player_03	omuk	hambo	Enemy	agressive	sees a player character	Tao thấy mày rồi!	I see you!	3		0		
vo_eny_eny_	enemy_00_	detect_player_04	vo_eny_eny_enemy_00_detect_player_04	omuk	hambo	Enemy	agressive	sees a player character	Hắn ở đây!	You there!	2		0		
vo_eny_eny_	enemy_00_	detect_player_05	vo_eny_eny_enemy_00_detect_player_05	omuk	hambo	Enemy	agressive	sees a player character	Dừng lại ngay!	Stop right there!	3		0		
vo_eny_eny_	enemy_00_	detect_player_06	vo_eny_eny_enemy_00_detect_player_06	omuk	hambo	Enemy	agressive	sees a player character	Kẻ đột nhập!	Intruder!	1		0		
vo_eny_eny_	enemy_00_	detect_player_07	vo_eny_eny_enemy_00_detect_player_07	omuk	hambo	Enemy	agressive	sees a player character	Chết đi đồ cặn bã!	Die, scum!	2		0		
vo_eny_eny_	enemy_00_	detect_player_08	vo_eny_eny_enemy_00_detect_player_08	omuk	hambo	Enemy	agressive	sees a player character	Tao đã tóm được mày!	I've got you!	3		0		
vo_eny_eny_	enemy_00_	detect_player_09	vo_eny_eny_enemy_00_detect_player_09	omuk	hambo	Enemy	agressive	sees a player character	Ê đứa kia!	Hey you!	2		0		
vo_eny_eny_	enemy_00_	detect_player_10	vo_eny_eny_enemy_00_detect_player_10	omuk	hambo	Enemy	agressive	sees a player character	Cái chết cho kẻ tấn công!	Death to the attacker!	4		0		
vo_eny_eny_	enemy_00_	detect_player_11	vo_eny_eny_enemy_00_detect_player_11	omuk	hambo	Enemy	agressive	sees a player character	Giết kẻ tấn công!	Kill the assailant!	3		0		
vo_eny_eny_	enemy_00_	detect_player_12	vo_eny_eny_enemy_00_detect_player_12	omuk	hambo	Enemy	agressive	sees a player character	Người Mạc Phủ!	Shogunate men!	2		0		
vo_eny_eny_	enemy_00_	detect_player_13	vo_eny_eny_enemy_00_detect_player_13	omuk	hambo	Enemy	agressive	sees a player character	Là chúng!	It's them!	2		0		
vo_eny_eny_	enemy_00_	detect_player_14	vo_eny_eny_enemy_00_detect_player_14	omuk	hambo	Enemy	agressive	sees a player character	Mày không nên ở đây!	You shouldn't be here!	4		0		
vo_eny_eny_	enemy_00_	detect_player_15	vo_eny_eny_enemy_00_detect_player_15	omuk	hambo	Enemy	agressive	sees a player character	Tao sẽ chăm sóc mày!	I will take care of you!	6		0		
vo_eny_eny_	enemy_00_	detect_player_16	vo_eny_eny_enemy_00_detect_player_16	omuk	hambo	Enemy	agressive	sees a player character	Đừng cố mà chạy!	Don't try to run!	4		0		
vo_eny_eny_	enemy_00_	detect_player_17	vo_eny_eny_enemy_00_detect_player_17	omuk	hambo	Enemy	agressive	sees a player character	Mày không thể thoát!	You won't escape!	3		0		
vo_eny_eny_	enemy_00_	detect_player_proximity_00	vo_eny_eny_enemy_00_detect_player_proximity_00	omuk	hambo	Enemy	suspicious	senses a nearby player character	Có gì đó sai sai…	Something's wrong…	2	JAPANESE	1		
vo_eny_eny_	enemy_00_	detect_player_proximity_01	vo_eny_eny_enemy_00_detect_player_proximity_01	omuk	hambo	Enemy	suspicious	senses a nearby player character	Kỳ lạ thật…nó cảm giác như…	Strange…it feels like…	3		0		
vo_eny_eny_	enemy_00_	detect_player_proximity_02	vo_eny_eny_enemy_00_detect_player_proximity_02	omuk	hambo	Enemy	suspicious	senses a nearby player character	Chờ đã…có ai đó…	Wait…is someone…	2		0		
vo_eny_eny_	enemy_00_	detect_player_proximity_03	vo_eny_eny_enemy_00_detect_player_proximity_03	omuk	hambo	Enemy	suspicious	senses a nearby player character	Có một ai đó…	There's someone there…	3		0		
vo_eny_eny_	enemy_00_	detect_sake_00	vo_eny_eny_enemy_00_detect_sake_00	omuk	hambo	Enemy	I want that	wants to pick up the sake bottle	Hm! Thật xấu hổ khi để nó nằm quanh đây.	Hm! Shame to leave that lying around.	7	JAPANESE	1		
vo_eny_eny_	enemy_00_	detect_sake_01	vo_eny_eny_enemy_00_detect_sake_01	omuk	hambo	Enemy	eager	wants to pick up the sake bottle	Oh! Không ai để ý chai sa kê này.	Oh! Wouldn't mind a cup of sake.	7		0		
vo_eny_eny_	enemy_00_	detect_sake_02	vo_eny_eny_enemy_00_detect_sake_02	omuk	hambo	Enemy	eager	wants to pick up the sake bottle	Sa kê hả? Có thể làm một ngụm.	Sake, huh? Could use a sip.	6		0		
vo_eny_eny_	enemy_00_	detect_sake_03	vo_eny_eny_enemy_00_detect_sake_03	omuk	hambo	Enemy	eager	wants to pick up the sake bottle	Oooh, sa kê nè!	Oooh, sake!	2		0		
vo_eny_eny_	enemy_00_	detect_sake_04	vo_eny_eny_enemy_00_detect_sake_04	omuk	hambo	Enemy	eager	wants to pick up the sake bottle	Một chai sa kê ngon.	A nice bottle of sake.	5		0		
vo_eny_eny_	enemy_00_	detect_tanuki_00	vo_eny_eny_enemy_00_detect_tanuki_00	omuk	hambo	Enemy	surprised	sees the tanuki	Oh! Đây là lửng chó.	Oh! It's a tanuki.	4	JAPANESE	1		
vo_eny_eny_	enemy_00_	detect_tanuki_01	vo_eny_eny_enemy_00_detect_tanuki_01	omuk	hambo	Enemy	Intrigued	sees the tanuki	Con vật tò mò.	Curious creature.	2		0		
vo_eny_eny_	enemy_00_	detect_tanuki_02	vo_eny_eny_enemy_00_detect_tanuki_02	omuk	hambo	Enemy	amused	sees the tanuki	Mày đang làm gì ở đây?	What are you doing here?	5		0		
vo_eny_eny_	enemy_00_	detect_tanuki_03	vo_eny_eny_enemy_00_detect_tanuki_03	omuk	hambo	Enemy	friendly	sees the tanuki	Lửng chó! Mày đói hả?	A tanuki! You hungry?	4		0		
vo_eny_eny_	enemy_00_	detect_tanuki_04	vo_eny_eny_enemy_00_detect_tanuki_04	omuk	hambo	Enemy	annoyed	sees the tanuki	Hey! Sao làm ồn thế hả?	Hey! Why so loud?	4		0		
vo_eny_eny_	enemy_00_	detect_tanuki_05	vo_eny_eny_enemy_00_detect_tanuki_05	omuk	hambo	Enemy	annoyed	sees the tanuki	À…lửng chó!	Ah…a tanuki!	2		0		
vo_eny_eny_	enemy_00_	detect_unconscious_female_01	vo_eny_eny_enemy_00_detect_unconscious_female_01	omuk		Enemy	concerned	sees unconcious person	Cô ấy bất tỉnh.	She's unconscious.	2		0		
vo_eny_eny_	enemy_00_	detect_unconscious_female_02	vo_eny_eny_enemy_00_detect_unconscious_female_02	omuk		Enemy	concerned	sees unconcious person	Cô ấy bị đánh!	She's been hit!	3		0		
vo_eny_eny_	enemy_00_	detect_unconscious_female_03	vo_eny_eny_enemy_00_detect_unconscious_female_03	omuk		Enemy	concerned	sees unconcious person	Cô ấy bị tấn công.	She's been attacked.	3		0		
vo_eny_eny_	enemy_00_	detect_unconscious_male_00	vo_eny_eny_enemy_00_detect_unconscious_male_00	omuk		Enemy	concerned	sees unconcious person	Anh ta bất tỉnh.	He's unconscious.	2	JAPANESE	1		
vo_eny_eny_	enemy_00_	detect_unconscious_male_01	vo_eny_eny_enemy_00_detect_unconscious_male_01	omuk		Enemy	concerned	sees unconcious person	Anh ta bị đánh!	He's been hit!	3		0		
vo_eny_eny_	enemy_00_	detect_unconscious_male_02	vo_eny_eny_enemy_00_detect_unconscious_male_02	omuk		Enemy	concerned	sees unconcious person	Anh ta bị tấn công.	He's been attacked.	3		0		
vo_eny_eny_	enemy_00_	detect_unconscious_neutral_01	vo_eny_eny_enemy_00_detect_unconscious_neutral_01	omuk	hambo	Enemy	concerned	sees unconcious person	Chuyện gì đã xảy ra?	What happened?	2		0		
vo_eny_eny_	enemy_00_	detect_unconscious_neutral_02	vo_eny_eny_enemy_00_detect_unconscious_neutral_02	omuk	hambo	Enemy	concerned	sees unconcious person	Hey…có gì không ổn hả?	Hey…what's wrong with you?	4		0		
vo_eny_eny_	enemy_00_	detect_unconscious_neutral_03	vo_eny_eny_enemy_00_detect_unconscious_neutral_03	omuk	hambo	Enemy	concerned	sees unconcious person	Đang ngủ hả?	Are you sleeping?	3		0		
vo_eny_eny_	enemy_00_	drink_sake_00	vo_eny_eny_enemy_00_drink_sake_00	omuk		Enemy		(sound) drink sake			0		0		
vo_eny_eny_	enemy_00_	drop_object_00	vo_eny_eny_enemy_00_drop_object_00	omuk		Enemy		(sound) lay down heavy object			0		0		
vo_eny_eny_	enemy_00_	friend_missing_female_00	vo_eny_eny_enemy_00_friend_missing_female_00	omuk		Enemy	concerned	his partner is missing	Cô ấy rời vị trí.	She left her post.	4		0		
vo_eny_eny_	enemy_00_	friend_missing_female_01	vo_eny_eny_enemy_00_friend_missing_female_01	omuk		Enemy	concerned	his partner is missing	Cô ấy đâu rồi?	Where is she?	3		0		
vo_eny_eny_	enemy_00_	friend_missing_female_02	vo_eny_eny_enemy_00_friend_missing_female_02	omuk		Enemy	concerned	his partner is missing	Cái gì cầm chân cô ấy lại?	What's keeping her?	3		0		
vo_eny_eny_	enemy_00_	friend_missing_female_03	vo_eny_eny_enemy_00_friend_missing_female_03	omuk		Enemy	concerned	his partner is missing	Cô ấy đi cũng khá lâu rồi.	She's been gone too long.	5		0		
vo_eny_eny_	enemy_00_	friend_missing_female_04	vo_eny_eny_enemy_00_friend_missing_female_04	omuk		Enemy	concerned	his partner is missing	Cố ấy bị mất tích!	She's missing!	2		0		
vo_eny_eny_	enemy_00_	friend_missing_male_00	vo_eny_eny_enemy_00_friend_missing_male_00	omuk	hambo	Enemy	concerned	his partner is missing	Anh ta rời vị trí.	He left his post.	4	JAPANESE	1		
vo_eny_eny_	enemy_00_	friend_missing_male_01	vo_eny_eny_enemy_00_friend_missing_male_01	omuk	hambo	Enemy	concerned	his partner is missing	Anh ta đâu rồi?	Where is he?	3		0		
vo_eny_eny_	enemy_00_	friend_missing_male_02	vo_eny_eny_enemy_00_friend_missing_male_02	omuk	hambo	Enemy	concerned	his partner is missing	Cái gì cầm chân anh ta lại?	What's keeping him so long?	5		0		
vo_eny_eny_	enemy_00_	friend_missing_male_03	vo_eny_eny_enemy_00_friend_missing_male_03	omuk	hambo	Enemy	concerned	his partner is missing	Anh ta đi cũng khá lâu rồi.	He's been gone too long.	5		0		
vo_eny_eny_	enemy_00_	friend_missing_male_04	vo_eny_eny_enemy_00_friend_missing_male_04	omuk	hambo	Enemy	concerned	his partner is missing	Anh ta bị mất tích!	He's missing!	2		0		
vo_eny_eny_	enemy_00_	friend_wakeup_00	vo_eny_eny_enemy_00_friend_wakeup_00	omuk	hambo	Enemy	urgent	wakes unconcious person	Hey! Dậy đi!	Hey! Wake up!	3	JAPANESE	1		
vo_eny_eny_	enemy_00_	friend_wakeup_01	vo_eny_eny_enemy_00_friend_wakeup_01	omuk	hambo	Enemy	urgent	wakes unconcious person	Dậy nào!	Get up!	2		0		
vo_eny_eny_	enemy_00_	friend_wakeup_02	vo_eny_eny_enemy_00_friend_wakeup_02	omuk	hambo	Enemy	urgent	wakes unconcious person	Có sao không?	Are you all right?	4		0		
vo_eny_eny_	enemy_00_	friend_wakeup_03	vo_eny_eny_enemy_00_friend_wakeup_03	omuk	hambo	Enemy	urgent	wakes unconcious person	Có chuyện khỉ gì vậy?	What happened to you?	4		0		
vo_eny_eny_	enemy_00_	friend_wakeup_04	vo_eny_eny_enemy_00_friend_wakeup_04	omuk	hambo	Enemy	urgent	wakes unconcious person	Đứng dậy!	On your feet!	3		0		
vo_eny_eny_	enemy_00_	hard_work_00	vo_eny_eny_enemy_00_hard_work_00	omuk		Enemy		(sound) pushing a cart			0		0		
vo_eny_eny_	enemy_00_	hear_noise_00	vo_eny_eny_enemy_00_hear_noise_00	omuk	hambo	Enemy	suspicious	hears strange noise	Hả?!	Huh?!	1	JAPANESE	1		
vo_eny_eny_	enemy_00_	hear_noise_01	vo_eny_eny_enemy_00_hear_noise_01	omuk	hambo	Enemy	suspicious	hears strange noise	Cái gì thế?	What was that?	3		0		
vo_eny_eny_	enemy_00_	hear_noise_02	vo_eny_eny_enemy_00_hear_noise_02	omuk	hambo	Enemy	suspicious	hears strange noise	Mình nghe thấy gì đó…	I heard something…	3		0		
vo_eny_eny_	enemy_00_	hear_noise_03	vo_eny_eny_enemy_00_hear_noise_03	omuk	hambo	Enemy	suspicious	hears strange noise	Tiếng động lớn…	Strange sound…	2		0		
vo_eny_eny_	enemy_00_	hear_noise_04	vo_eny_eny_enemy_00_hear_noise_04	omuk	hambo	Enemy	suspicious	hears strange noise	Đó là…tiếng ồn…	That…noise…	1		0		
vo_eny_eny_	enemy_00_	hear_noise_directhit_00	vo_eny_eny_enemy_00_hear_noise_directhit_00	omuk		Enemy	very irritated	is hit by stone	Ah! …thằng nào dám?	Ah! …who dares?	3		0		
vo_eny_eny_	enemy_00_	hear_noise_directhit_01	vo_eny_eny_enemy_00_hear_noise_directhit_01	omuk		Enemy	very irritated	is hit by stone	Argh… Mày phải trả giá cho chuyện này!	Argh… You will pay for this!	6		0		
vo_eny_eny_	enemy_00_	hear_noise_directhit_02	vo_eny_eny_enemy_00_hear_noise_directhit_02	omuk		Enemy	very irritated	is hit by stone	Gah! Lộ diện ngay coi nào!	Gah! Show yourself, now!	4		0		
vo_eny_eny_	enemy_00_	hear_noise_directhit_03	vo_eny_eny_enemy_00_hear_noise_directhit_03	omuk		Enemy	very irritated	is hit by stone	Ouch! Dừng lại ngay!	Ouch! Stop this!	3		0		
vo_eny_eny_	enemy_00_	hear_noise_gunshot_00	vo_eny_eny_enemy_00_hear_noise_gunshot_00	omuk		Enemy	alarmed	hears player gunshot	Sao có tiếng súng?	Why is there shooting?	4		0		
vo_eny_eny_	enemy_00_	hear_noise_gunshot_01	vo_eny_eny_enemy_00_hear_noise_gunshot_01	omuk		Enemy	alarmed	hears player gunshot	Tiếng súng! Báo động!	Gunshots! Alarm!	2		0		
vo_eny_eny_	enemy_00_	hear_noise_gunshot_02	vo_eny_eny_enemy_00_hear_noise_gunshot_02	omuk		Enemy	alarmed	hears player gunshot	Địch có hỏa lực!	The enemy has firearms!	4		0		
vo_eny_eny_	enemy_00_	hear_noise_human_00	vo_eny_eny_enemy_00_hear_noise_human_00	omuk	hambo	Enemy	tense	hears human noise	Có ai đó ở đây?	Someone there?	2	JAPANESE	1		
vo_eny_eny_	enemy_00_	hear_noise_human_01	vo_eny_eny_enemy_00_hear_noise_human_01	omuk	hambo	Enemy	tense	hears human noise	Có ai đó đến đây?	Who goes there?	3		0		
vo_eny_eny_	enemy_00_	hear_noise_human_02	vo_eny_eny_enemy_00_hear_noise_human_02	omuk	hambo	Enemy	tense	hears human noise	Tao nghe thấy rồi!	I heard that!	3		0		
vo_eny_eny_	enemy_00_	hear_noise_human_03	vo_eny_eny_enemy_00_hear_noise_human_03	omuk	hambo	Enemy	tense	hears human noise	Đứa nào làm ồn?	Who's making noise?	3		0		
vo_eny_eny_	enemy_00_	hear_noise_human_04	vo_eny_eny_enemy_00_hear_noise_human_04	omuk	hambo	Enemy	tense	hears human noise	Thằng nào nấp trong bóng tối?	Who hides in the shadows?	5		0		
vo_eny_eny_	enemy_00_	hear_noise_human_05	vo_eny_eny_enemy_00_hear_noise_human_05	omuk	hambo	Enemy	tense	hears human noise	Ai đó?	Who is this?	3		0		
vo_eny_eny_	enemy_00_	hear_noise_toomuch_00	vo_eny_eny_enemy_00_hear_noise_toomuch_00	omuk	hambo	Enemy	irritated	hears continuous string of strange noises	Quá đủ rồi!	Enough already!	2	JAPANESE	1		
vo_eny_eny_	enemy_00_	hear_noise_toomuch_01	vo_eny_eny_enemy_00_hear_noise_toomuch_01	omuk	hambo	Enemy	irritated	irritated by a continuous string of strange noises	Thằng nào đang làm đấy?	Who is doing this?	4		0		
vo_eny_eny_	enemy_00_	hear_noise_toomuch_02	vo_eny_eny_enemy_00_hear_noise_toomuch_02	omuk	hambo	Enemy	irritated	irritated by a continuous string of strange noises	Lộ mặt đi!	Show yourself!	2		0		
vo_eny_eny_	enemy_00_	hear_noise_toomuch_03	vo_eny_eny_enemy_00_hear_noise_toomuch_03	omuk	hambo	Enemy	irritated	irritated by a continuous string of strange noises	Đéo vui tý nào đâu!	This is not funny!	4		0		
vo_eny_eny_	enemy_00_	hum_00	vo_eny_eny_enemy_00_hum_00	omuk		Enemy		(sound) humming tune			0		0		
