4,2,9		CUTSCENE CONTEXT DIALOG				NINJA TRAPPER WARRIOR ALCHEMIST GEISHA TANUKI SHOGUN SHOGUNSON DAIMYO GENERAL BROGUN BROGUNSON	Hayato  Yuki  Ōshiro Mugen Takuma  Aiko  Kuma Shogun Ryūnosuke Yabu Okkoto Noboru Masaru	STORY:	1) 3 years after the battle. Mugen has an audience with the Shogun. 2) They discuss Kage-sama, a dangerous criminal that plots against the Shogun. 3) Mugen gets the mission from the Shogun to hunt Kage-sama. 4) The Shogun's brother (=Kage-sama), son and nephew are also  setup here. 5) Mugen recruits his old comrade Hayato. 6) Hayato's first assignment is a convoy raid. The convoy is tied to Kage-sama.	1) 3 years after the battle. Mugen has an audience with the Shogun. 2) They discuss Kage-sama, a dangerous criminal that plots against the Shogun. 3) Mugen gets the mission from the Shogun to hunt Kage-sama. 4) The Shogun's brother (=Kage-sama), son and nephew are also  setup here. 5) Mugen recruits his old comrade Hayato. 6) Hayato's first assignment is a convoy raid. The convoy is tied to Kage-sama.																												
																																						
INTRO2									Render Cutscene with narration	Render Cutscene with narration																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	EN - Proofread	CEN	DE	CDE																									
vocs_over_over_	_n34	vocs_over_over_firstcastle_post_n34				NINJA	smug	takes a drink	Hmm… Miễn được trả tiền, tôi là ma truy lùng giỏi. Nhiệm vụ là gì?	Hmm… As long as I get paid, I'm fine chasing ghosts. What's the mission?	14		0																									
vocs_over_over_	_n35	vocs_over_over_firstcastle_post_n35				WARRIOR	explaining	lays document on table	Lúc bình minh ngày mai, một cuộc vận chuyển trái phép sẽ đi dọc theo tuyến đường Nakasendō. Nó sẽ băng qua các khu vực chi tiết ở trong lá thư này.	At dawn tomorrow, an illegal transport will travel along the Nakasendō route. It will pass through the area detailed in this letter.	22		0																									
vocs_over_over_	_n36	vocs_over_over_firstcastle_post_n36				WARRIOR	instructing	Hayato takes and reads the document	Tôi muốn cậu ngăn chặn đoàn xe và loại bỏ Chỉ Huy bảo vệ. Khi có tín hiệu của cậu, tôi sẽ di chuyển cùng với người của Mạc Phủ.	I want you to halt this convoy and eliminate the officers of the guard. At your signal, I will move in with Shogunate men.	24		0																									
vocs_over_over_	_n37	vocs_over_over_firstcastle_post_n37				NINJA	no problem		Quá đơn giản.	Simple enough.	2		0																									
vocs_over_over_	_n38	vocs_over_over_firstcastle_post_n38				NINJA	no problem	stands up, finishes his drink, pockets the letter	Được thôi, hẹn gặp lại trên đường.	All right, see you on the road.	7		0																									
vocs_over_over_	_n39	vocs_over_over_firstcastle_post_n39				WARRIOR			Còn một điều nữa, Hayato-san.	One more thing, Hayato-san.	4		0																									
vocs_over_over_	_n40	vocs_over_over_firstcastle_post_n40				NINJA			Hm?	Hm?	1		0																									
vocs_over_over_	_n41	vocs_over_over_firstcastle_post_n41				WARRIOR	friendship		Rất vui khi biết đến cậu.	Good to see you again.	5		0																									
vocs_over_over_	_n42	vocs_over_over_firstcastle_post_n42				NINJA	hints of friendship		Heh…tôi cũng vậy.	Heh…likewise.	1		0																									
																																						
												MISSION-WORDCOUNT DE:	0		TOTAL	NINJA	TRAPPER	WARRIOR	GEISHA	ALCHEMIST	SHOGUN	SHOGUNSON	BROGUN	BROGUNSON	DAIMYO	GENERAL	NARRATOR	OFFICER	ENEMY	STATIC	SAMURAI	OFFICIAL	CIVILIAN M	CIVILIAN F	HUSBAND	GUARD1	GUARD2	FAKE
														Words	530	49	0	210	0	0	99	22	30	35	0	0	76	0	0	0	0	0	9	0	0	0	0	0
														Lines	43	7	0	17	0	0	5	3	3	3	0	0	4	0	0	0	0	0	1	0	0	0	0	0
