5,2,9		CUTSCENE CONTEXT DIALOG				NINJA TRAPPER WARRIOR ALCHEMIST GEISHA TANUKI SHOGUN SHOGUNSON DAIMYO GENERAL BROGUN BROGUNSON	Hayato  Yuki  Ōshiro Mugen Takuma  Aiko  Kuma Shogun Ryūnosuke Yabu Okkoto Noboru Masaru	STORY:	1) General Okkoto has successfully taken Kanazawa castle. 2) The team regroup at Noboru's warcamp. Information is exchanged. 3) Hayato and Aiko report that Okkoto has set up command in the castle 4) Mugen wants Aiko to wait out the battle in safety 5) Aiko realizes that Yuki saved her husbands live and apologizes to her.																												
																																					
POST									At Noboru's warcamp.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE	Column1																								
vocs_over_over_	_n31	vocs_over_over_ricefields_post_n31				TRAPPER	shy		Em đang trên đường tới đây, nhưng rồi gặp Kuma, rồi có máu, rồi…	15		0																									
vocs_over_over_	_n32	vocs_over_over_ricefields_post_n32				GEISHA	sincere		Em đã có một lựa chọn khó khăn. Chị biết chị cũng sẽ làm như thế.	13		0																									
vocs_over_over_	_n33	vocs_over_over_ricefields_post_n33				GEISHA	sincere		Em không còn là đứa trẻ, Yuki-chan. Chị đã từng nghi ngờ em, chị phải xin lỗi.	14		0																									
vocs_over_over_	_n34	vocs_over_over_ricefields_post_n34				TRAPPER	astonished	Aiko bows before Yuki	Aiko-san…	1		0																									
vocs_over_over_	_n35	vocs_over_over_ricefields_post_n35				GEISHA	elegant	heads back to the tent	Làm ơn, quay về bình an. Tất cả mọi người.	6		0																									
vocs_over_over_	_n36	vocs_over_over_ricefields_post_n36				TRAPPER	grateful	waits briefly, then runs off	Hai, Aiko-san!	2		0																									
																																					
											MISSION-WORDCOUNT DE:				NINJA	TRAPPER	WARRIOR	GEISHA	ALCHEMIST	SHOGUN	SHOGUNSON	BROGUN	BROGUNSON	DAIMYO	GENERAL	NARRATOR	OFFICER	ENEMY	STATIC	SAMURAI	OFFICIAL	CIVILIAN M	CIVILIAN F	HUSBAND	GUARD1	GUARD2	FAKE
															32	45	109	129	15	0	0	128	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
															3	7	8	12	2	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
