5,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
SENSEI2									Yuki and Takuma come closer to the castle.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
vocs_over_over_	_n00	vocs_over_over_uprising_sensei2_n00	omuk		mo	ALCHEMIST	persistent		Yuki-chan… What happened after leaving?	5		0																									
vocs_over_over_	_n01	vocs_over_over_uprising_sensei2_n01	omuk		mo	TRAPPER	difficult	doesn't want to remember	…why do you want to know?	6		0																									
vocs_over_over_	_n02	vocs_over_over_uprising_sensei2_n02	omuk		mo	ALCHEMIST	persistent		I was wondering…how you've learned the things you know.	9		0																									
vocs_over_over_	_n03	vocs_over_over_uprising_sensei2_n03	omuk		mo	TRAPPER	struggles a bit		Well…some things you learn from people. Others you don't. If there's no one who can teach you…	17		0																									
vocs_over_over_	_n04	vocs_over_over_uprising_sensei2_n04	omuk		mo	ALCHEMIST	understands her	has learned most of what he knows the same way	…then you must teach yourself. You watch, you learn. You question things, and earn the answers. Am I right?	19		0																									
vocs_over_over_	_n05	vocs_over_over_uprising_sensei2_n05	omuk		mo	TRAPPER	surprised		Yes…	1		0																									
																																					
SENSEI3									Yuki and Takuma reach the castle entrance.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
vocs_over_over_	_n00	vocs_over_over_uprising_sensei3_n00	omuk		mo	ALCHEMIST	persistent		Now, a final question, Yuki-chan. How did I make my rifle so quiet?	13		0																									
vocs_over_over_	_n01	vocs_over_over_uprising_sensei3_n01	omuk		mo	TRAPPER	surprised		"I-it's…You… No, that's not it! Oh, it's so hard; I don't understand it!"	13		0																									
vocs_over_over_	_n02	vocs_over_over_uprising_sensei3_n02	omuk		mo	ALCHEMIST	wise		Life can be a marvelous teacher. Yet some things only show themselves when others point them out to you.	19		0																									
vocs_over_over_	_n03	vocs_over_over_uprising_sensei3_n03	omuk		mo	TRAPPER	emotional		Takuma-sama…	1		0																									
vocs_over_over_	_n04	vocs_over_over_uprising_sensei3_n04	omuk		mo	ALCHEMIST	encouraging	can finally pass on his knowledge	Will you let me show you how it works, Yuki-chan?	10		0																									
vocs_over_over_	_n05	vocs_over_over_uprising_sensei3_n05	omuk		mo	TRAPPER	emotional		You mean…like a sensei?	4		0																									
vocs_over_over_	_n06	vocs_over_over_uprising_sensei3_n06	omuk		mo	ALCHEMIST	very pleased		If that is what you want, Yuki-chan.	7		0																									
vocs_over_over_	_n07	vocs_over_over_uprising_sensei3_n07	omuk		mo	TRAPPER	very happy	has a new sensei	Really?! Yes! Yes, I want that!	6		0																									
vocs_over_over_	_n08	vocs_over_over_uprising_sensei3_n08	omuk		mo	ALCHEMIST	very pleased		Hehehe. Who would have thought I would find an apprentice on the battlefield.	13		0																									
																																					
WARZONE									Screams of soldiers across the warzone. (random)																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
vo_hint_hint_	_n00	vo_hint_hint_uprising_warzone_n00	omuk			ENEMY	very tense		Hold the line!	3		0																									
vo_hint_hint_	_n01	vo_hint_hint_uprising_warzone_n01	omuk			ENEMY	very tense		Let no one through!	4		0																									
vo_hint_hint_	_n02	vo_hint_hint_uprising_warzone_n02	omuk			ENEMY	very tense		Death to the Shogun's men!	5		0																									
vo_hint_hint_	_n03	vo_hint_hint_uprising_warzone_n03	omuk			STATIC	very tense		Hold the line!	3		0																									
vo_hint_hint_	_n04	vo_hint_hint_uprising_warzone_n04	omuk			STATIC	very tense		For Lord Okkoto!	3		0																									
vo_hint_hint_	_n05	vo_hint_hint_uprising_warzone_n05	omuk			STATIC	very tense		Push them back!	3		0																									
vo_hint_hint_	_n06	vo_hint_hint_uprising_warzone_n06	omuk			SAMURAI	very tense		Hold the line!	3		0																									
vo_hint_hint_	_n07	vo_hint_hint_uprising_warzone_n07	omuk			SAMURAI	very tense		Death and glory!	3		0																									
vo_hint_hint_	_n08	vo_hint_hint_uprising_warzone_n08	omuk			SAMURAI	very tense		For honor!	2		0																									
vo_hint_hint_	_n09	vo_hint_hint_uprising_warzone_n09	omuk			CIVILIAN M	very tense	"character:
friendly soldier"	Keep pushing forward!	3		0																									
vo_hint_hint_	_n10	vo_hint_hint_uprising_warzone_n10	omuk			CIVILIAN M	very tense	"character:
friendly soldier"	Fire!	1		0																									
vo_hint_hint_	_n11	vo_hint_hint_uprising_warzone_n11	omuk			CIVILIAN M	very tense	"character:
friendly soldier"	Do not let up on them!	6		0																									
vo_hint_hint_	_n12	vo_hint_hint_uprising_warzone_n12	omuk			CIVILIAN M	very tense	"character:
friendly soldier"	For the Shogun!	3		0																									
vo_hint_hint_	_n13	vo_hint_hint_uprising_warzone_n13	omuk			CIVILIAN M	very tense	"character:
friendly soldier"	For Lord Noboru!	3		0																									
vo_hint_hint_	_n14	vo_hint_hint_uprising_warzone_n14	omuk			CIVILIAN M	very tense	"character:
friendly soldier"	Rebel traitors!	2		0																									
vo_hint_hint_	_n15	vo_hint_hint_uprising_warzone_n15	omuk			CIVILIAN M	very tense	"character:
friendly soldier"	Attack!	1		0																									
																																					
HOLD									Two officers at two fronts of the battle. A samurai delivers messages between them (silently).																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
vo_hint_hint_	_n00	vo_hint_hint_uprising_hold_n00	omuk		mo	ENEMY	very tense	as Officer1	We are barely keeping them back.	6		0																									
vo_hint_hint_	_n01	vo_hint_hint_uprising_hold_n01	omuk		mo	STATIC	very tense	as Officer2	I don't care! The flank must hold!	7		0																									
vo_hint_hint_	_n02	vo_hint_hint_uprising_hold_n02	omuk		mo	ENEMY	very tense	as Officer1	We are doing what we can. We need supplies!	9		0																									
vo_hint_hint_	_n03	vo_hint_hint_uprising_hold_n03	omuk		mo	STATIC	very tense	as Officer2	They need supplies?! Well, bad luck! We can't open the gate!	11		0																									
vo_hint_hint_	_n04	vo_hint_hint_uprising_hold_n04	omuk		mo	ENEMY	very tense	as Officer1	No supplies? Then we need men!	6		0																									
vo_hint_hint_	_n05	vo_hint_hint_uprising_hold_n05	omuk		mo	STATIC	very tense	as Officer2	They need men?! We can't spare anyone!	7		0																									
																																					
OFFICER									The team kills an officer and Noboru's soldiers can advance.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
vocs_over_over_	_n00	vocs_over_over_uprising_officer_n00	omuk		mo	NINJA	smug	Hayato first	Got one.	2		0																									
vocs_over_over_	_n01	vocs_over_over_uprising_officer_n01	omuk		mo	WARRIOR	rush of battle	Mugen first	Officer down!	2		0																									
vocs_over_over_	_n02	vocs_over_over_uprising_officer_n02	omuk		mo	TRAPPER	brave	Yuki first	One flag down!	3		0																									
vocs_over_over_	_n03	vocs_over_over_uprising_officer_n03	omuk		mo	ALCHEMIST	pleased	Takuma first	Hehe! Officer down!	3		0																									
vocs_over_over_	_n04	vocs_over_over_uprising_officer_n04	omuk		mo	BROGUN	commanding	first officer	The enemy command is weakened! Advance!	6		0																									
vocs_over_over_	_n05	vocs_over_over_uprising_officer_n05	omuk		mo	BROGUN	commanding	second officer	Another officer has fallen! Break through their lines!	8		0																									
vocs_over_over_	_n06	vocs_over_over_uprising_officer_n06	omuk		mo	BROGUN	commanding	third officer	We are gaining the advantage! Forward, for the Shogun!	9		0																									
																																					
REGROUP									"Everyone has entered the castle.
(only if supply depot is still intact)"																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
vocs_over_over_	_n00	vocs_over_over_uprising_regroup_n00	omuk			WARRIOR	rush of battle		Is everyone inside?	3		0																									
vocs_over_over_	_n01	vocs_over_over_uprising_regroup_n01	omuk			NINJA	cool		I'm with you.	3		0																									
vocs_over_over_	_n02	vocs_over_over_uprising_regroup_n02	omuk			ALCHEMIST	glad he made it		Here. And Yuki-chan.	3		0																									
vocs_over_over_	_n03	vocs_over_over_uprising_regroup_n03	omuk			WARRIOR	rush of battle		Good. We must make haste and destroy the supply depot!	10		0																									
																																					
PRIORITIES									The team gets close to General Okkoto's tent before they blow up the barracks.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
vocs_over_over_	_n00	vocs_over_over_uprising_priorities_n00	omuk			NINJA	focussed	Hayato first	General Okkoto's tent.	3		0																									
vocs_over_over_	_n01	vocs_over_over_uprising_priorities_n01	omuk			TRAPPER	brave	Yuki first	He's close.	2		0																									
vocs_over_over_	_n02	vocs_over_over_uprising_priorities_n02	omuk			ALCHEMIST	pondering	Takuma first	A fateful confrontation.	3		0																									
vocs_over_over_	_n03	vocs_over_over_uprising_priorities_n03	omuk			WARRIOR	rush of battle		We must destroy the depot before we engage Okkoto.	9		0																									
																																					
PRISONERS									The team frees some captured Shogunate troops																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
vocs_over_over_	_n00	vocs_over_over_uprising_prisoners_n00	omuk			CIVILIAN M	surprised	"character:
friendly soldier"	Y-you…you're not Okkoto's men.	4		0																									
vocs_over_over_	_n01	vocs_over_over_uprising_prisoners_n01	omuk			WARRIOR	stay calm		We have unlocked your door, but stay here until Lord Noboru storms the castle.	14		0																									
vocs_over_over_	_n02	vocs_over_over_uprising_prisoners_n02	omuk			CIVILIAN M	focussed	"character:
friendly soldier"	Understood. But be careful if you face the General. You will need the skill of a true samurai to defeat him.	21		0																									
vocs_over_over_	_n02a	vocs_over_over_uprising_prisoners_n02a	omuk			CIVILIAN M	focussed	"character:
friendly soldier"	Understood. Thank you.	3		0																									
																																					
EXPLOSIVES1									Mugen picks up the barrel of gunpowder.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
vocs_over_over_	_n00	vocs_over_over_uprising_explosives1_n00	omuk			WARRIOR	exhausted	picks up the barrel	…	1		0																									
vocs_over_over_	_n01	vocs_over_over_uprising_explosives1_n01	omuk			ALCHEMIST	teasing		Hehe! Getting old, Mugen?	4		0																									
vocs_over_over_	_n02	vocs_over_over_uprising_explosives1_n02	omuk			WARRIOR	teasing back	encumbered	A man should be proud of his age, as you very well know.	13		0																									
vocs_over_over_	_n03	vocs_over_over_uprising_explosives1_n03	omuk			ALCHEMIST	amused		Oh, wise words, Mugen. Hehe! Wise words.	7		0																									
																																					
EXPLOSIVES2									Mugen places the gunpowder near the supply depot.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
vocs_over_over_	_n00	vocs_over_over_uprising_explosives2_n00	omuk			WARRIOR	relieved	places the barrel	…done.	1		0																									
vocs_over_over_	_n01	vocs_over_over_uprising_explosives2_n01	omuk			ALCHEMIST	memories		Ah, this brings back memories. Everyone, keep your distance.	9		0																									
																																					
EXPLOSIVES3									Takuma has blown up the gunpowder in the wrong spot.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
vocs_over_over_	_n00	vocs_over_over_uprising_explosives3_n00	omuk			ALCHEMIST	very displeased		Hah! A crucial miscalculation. Now we lack the means to destroy the depot.	13		0																									
																																					
EXPLOSIVES4									Takuma blows up the depot with the barrel of gunpowder.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
vocs_over_over_	_n00	vocs_over_over_uprising_explosives4_n00	omuk			WARRIOR	rush of battle		The rebels have lost their supplies! Now we must confront Okkoto. Be ready for anything.	15		0																									
																																					
INVESTIGATE									Rebel soldiers react to the depot explosion.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
vo_hint_hint_	_n00	vo_hint_hint_uprising_investigate_n00	omuk			ENEMY	shocked		Aah!	1		0																									
vo_hint_hint_	_n01	vo_hint_hint_uprising_investigate_n01	omuk			SAMURAI	shocked		What?! What is it?!	4		0																									
vo_hint_hint_	_n02	vo_hint_hint_uprising_investigate_n02	omuk			STATIC	shocked		Aah!	1		0																									
vo_hint_hint_	_n03	vo_hint_hint_uprising_investigate_n03	omuk			ENEMY	shocked		…how could this happen?	4		0																									
vo_hint_hint_	_n04	vo_hint_hint_uprising_investigate_n04	omuk			STATIC	shocked		They…they hit the depot!	4		0																									
vo_hint_hint_	_n05	vo_hint_hint_uprising_investigate_n05	omuk			ENEMY	tense		Everyone! Find out who did this!	6		0																									
vo_hint_hint_	_n06	vo_hint_hint_uprising_investigate_n06	omuk			SAMURAI	commanding	to peasants	Fetch water! Stop the fire from spreading!	7		0																									
																																					
EXPLOSIVES5									Mugen picks up a small gunpowder barrel that won't be enough to blow up the barracks.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
vocs_over_over_	_n00	vocs_over_over_uprising_explosives5_n00	omuk			WARRIOR	dismissive		This one is too small to destroy the supply depot. I must find a larger barrel.	16		0																									
																																					
BOSS SPAWN									Takuma climbs to his sniper spot as Okkoto emerges from his tent.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
vocs_over_over_	_n00	vocs_over_over_uprising_bossspawn_n00	omuk			GENERAL	evil	comes out of tent	Assassins. Their stench lingers in the air. They have destroyed our supplies and now they come for me.	18		0																									
vocs_over_over_	_n01	vocs_over_over_uprising_bossspawn_n01	omuk			GENERAL	evil	guards come out of tent	Take up formation! Hold out until Kage-sama comes with reinforcements. Show these worms the wrath of true samurai!	18		0																									
vocs_over_over_	_n02	vocs_over_over_uprising_bossspawn_n02	omuk			WARRIOR	rush of battle		Everyone, take position.	3		0																									
vocs_over_over_	_n03	vocs_over_over_uprising_bossspawn_n03	omuk			WARRIOR	rush of battle		Takuma-san, you have the high ground!	6		0																									
vocs_over_over_	_n04	vocs_over_over_uprising_bossspawn_n04	omuk			ALCHEMIST	eager	moves towards higher ground	On my way! Hehe.	4		0																									
vocs_over_over_	_n05	vocs_over_over_uprising_bossspawn_n05	omuk			WARRIOR	rush of battle		Hayato-san. Yuki-chan.	2		0																									
vocs_over_over_	_n06	vocs_over_over_uprising_bossspawn_n06	omuk			NINJA	focussed		Going in.	2		0																									
vocs_over_over_	_n07	vocs_over_over_uprising_bossspawn_n07	omuk			TRAPPER	eager		Hai!	1		0																									
vocs_over_over_	_n08	vocs_over_over_uprising_bossspawn_n08	omuk			WARRIOR	rush of battle		Let us end this rebellion once and for all.	9		0																									
																																					
ORDER									Okkoto orders his men to stay vigilant.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
vo_hint_hint_	_n00	vo_hint_hint_uprising_order_n00	omuk			GENERAL	full of hate		Kage-sama will come. Until then, we must prevail.	8		0																									
vo_hint_hint_	_n01	vo_hint_hint_uprising_order_n01	omuk			GENERAL	full of hate		Don't let that scum in here.	6		0																									
vo_hint_hint_	_n02	vo_hint_hint_uprising_order_n02	omuk			GENERAL	full of hate		Stay vigilant! Reinforcements will arrive soon.	6		0																									
vo_hint_hint_	_n03	vo_hint_hint_uprising_order_n03	omuk			GENERAL	full of hate		Keep focused, everyone. They are here somewhere.	7		0																									
vo_hint_hint_	_n04	vo_hint_hint_uprising_order_n04	omuk			GENERAL	full of hate		Shoot on sight! Don't hesitate.	5		0																									
																																					
INSULT									Okkoto insults the team as they hide from him.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
vo_hint_hint_	_n00	vo_hint_hint_uprising_insult_n00	omuk			GENERAL	full of hate		Shinobi filth!	2		0																									
vo_hint_hint_	_n01	vo_hint_hint_uprising_insult_n01	omuk			GENERAL	full of hate		Hiding like the snakes you are.	6		0																									
vo_hint_hint_	_n02	vo_hint_hint_uprising_insult_n02	omuk			GENERAL	full of hate		You are no match for me, scum.	7		0																									
vo_hint_hint_	_n03	vo_hint_hint_uprising_insult_n03	omuk			GENERAL	full of hate		Fools! I will present your heads to Kage-sama.	8		0																									
vo_hint_hint_	_n04	vo_hint_hint_uprising_insult_n04	omuk			GENERAL	full of hate		You cowards will rot in the dirt.	7		0																									
																																					
DEBRIEFING									Okkoto has been mortally wounded. Mugen wants to question him before he dies.		Okkoto has been mortally wounded. Mugen wants to question him before he dies.																										
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
vocs_over_over_	_n00	vocs_over_over_uprising_debriefing_n00	omuk			GENERAL	"stubborn
hopeful"	mortally wounded	You cannot kill me, scum. Why does Kage-sama keep me waiting…	11	*coughs* So Kage-sama sent demons to slay me! *coughs* How fitting.	11																									
vocs_over_over_	_n01	vocs_over_over_uprising_debriefing_n01	omuk			WARRIOR	direct		Don't you see? No one is coming. Kage-sama has left you to die.	13	My name is Oshiro Mugen. I serve the Shogun, not Kage-sama.	11																									
vocs_over_over_	_n02	vocs_over_over_uprising_debriefing_n02	omuk			GENERAL	broken	mortally wounded	I… It cannot be! Kage-sama… He has no honor? That treacherous coward!	12	*coughs* Oshiro …  Mugen.	5																									
vocs_over_over_	_n03	vocs_over_over_uprising_debriefing_n03	omuk			WARRIOR	honest		My name is Ōshiro Mugen. You and I are both men of honor. Tell me who Kage-sama is, and I will grant you the death of a samurai.	28	If Kage-sama is your enemy then tell me who he is!	11																									
vocs_over_over_	_n04	vocs_over_over_uprising_debriefing_n04	omuk			GENERAL	full of contempt	mortally wounded	Haha! How kind of you. But I cannot take your offer. I never saw the man's face.	17	*short laugh* *coughing* You think I know who he is? I never saw his face.	15																									
vocs_over_over_	_n05	vocs_over_over_uprising_debriefing_n05	omuk			WARRIOR	persistend	approaches Okkoto	Then tell me what you know.	6	Then this conversation is over …	6																									
vocs_over_over_	_n08	vocs_over_over_uprising_debriefing_n08	omuk			GENERAL	bitter	mortally wounded	Damn you… There were three to our alliance: Lord Yabu, Kage-sama and I. We were gathering strength to take Edo… Then assassins came for Yabu…	25	*cough* He hates the Shogun ... wants him to suffer. *cough* He will see his line destroyed ... his brother ...  his wife ...	25																									
vocs_over_over_	_n10	vocs_over_over_uprising_debriefing_n10	omuk			WARRIOR	questioning		What was the goal of your alliance? Why work to destroy peace, when we'd finally achieved it?	17	Why were you betrayed? What was the goal of your alliance?	11																									
vocs_over_over_	_n11	vocs_over_over_uprising_debriefing_n11	omuk			GENERAL	bitter	mortally wounded	What is a samurai in times of peace? We are made for battle! We can only thrive in battle! Kage-sama understood this, and so I followed him!	27	We were gathering strenght to take Edo Castle … but when assasins came for Yabu, I knew Kage-sama had betrayed us …	22																									
vocs_over_over_	_n12	vocs_over_over_uprising_debriefing_n12	omuk			WARRIOR	direct		Yet in the end he betrayed you. This man has no honor. He must be brought to justice.	18	Yabu …	2																									
vocs_over_over_	_n13	vocs_over_over_uprising_debriefing_n13	omuk			GENERAL	full of hatred	hates Mugen, hates Kage-sama, hates that he must break his vows	Very well. We last met in a hidden camp. I have a map in my tent. Maybe you will find him there. Now…honor our agreement!	25	*cough* This is all ... *cough* Now, honor our agreement!	10																									
vocs_over_over_	_n14	vocs_over_over_uprising_debriefing_n14	omuk			WARRIOR	dutyful		I will do what must be done. Take this…	9	… very well. Here, take this. You will all bear witness. I must assist him.	15																									
vocs_over_over_	_n15	vocs_over_over_uprising_debriefing_n15	omuk			WARRIOR		gives Okkoto his short blade then goes into position	I will assist you. Everyone, bear witness!	7		0																									
vocs_over_over_	_n16	vocs_over_over_uprising_debriefing_n16	omuk			GENERAL	speaks his death poem		…shall Ashura subdue a man like me? …I shall be born again…and cut off Ōshiro Mugen's head…	17	"Heh …
Shall Ashura subdue a man like me?
I shall be born again …
and cut off Oshiro Mugen's head …"	19																									
vocs_over_over_	_n16a	vocs_over_over_uprising_debriefing_n16a	omuk			GENERAL	speaks his death poem	ALTERNATIVE	Shall Ashura subdue a man like me? …I shall be born again…and cut off Kage-sama's head…	16		0																									
vocs_over_over_	_n17	vocs_over_over_uprising_debriefing_n17	omuk			GENERAL	dying	plunges the sword in his belly	… 	2	HGRNNN	1																									
vocs_over_over_	_n18	vocs_over_over_uprising_debriefing_n18	omuk			WARRIOR	killing	waits, then readies his sword, then decapitates Okkoto	… 	2	… … HA!	3																									
vocs_over_over_	_n19	vocs_over_over_uprising_debriefing_n19	omuk			NINJA	focussed	after a brief silence, Mugen walks away from Okkoto	Wonder why Kage-sama betrayed him.	5	What now?	2																									
