2,3,9													
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	Vietnamese	EN	CEN	JP	CDE
vo_eny_eny_	brogun_	detect_corpse_female_03	vo_eny_eny_brogun_detect_corpse_female_03	omuk		Brogun	displeased	sees a corpse	Chúng đã giết ả ta!	They killed her!	3		0
vo_eny_eny_	brogun_	detect_corpse_male_00	vo_eny_eny_brogun_detect_corpse_male_00	omuk		Brogun	displeased	sees a corpse	Thằng này đã chết!	He is dead!	3		0
vo_eny_eny_	brogun_	detect_corpse_male_01	vo_eny_eny_brogun_detect_corpse_male_01	omuk		Brogun	displeased	sees a corpse	Chúng đã giết thằng này!	They killed him!	3		0
vo_eny_eny_	brogun_	detect_corpse_neutral_00	vo_eny_eny_brogun_detect_corpse_neutral_00	omuk	hambo	Brogun	displeased	sees a corpse	Có người chết!	Murder!	1		0
vo_eny_eny_	brogun_	detect_corpse_neutral_01	vo_eny_eny_brogun_detect_corpse_neutral_01	omuk	hambo	Brogun	displeased	sees a corpse	Có kẻ giết người!	There's a killer!	3		0
vo_eny_eny_	brogun_	detect_player_00	vo_eny_eny_brogun_detect_player_00	omuk	hambo	Brogun	tense	sees a player character	Mày!	You!	1	JAPANESE	1
vo_eny_eny_	brogun_	detect_player_01	vo_eny_eny_brogun_detect_player_01	omuk	hambo	Brogun	tense	sees a player character	Người của Mugen!	Mugen's men!	2	JAPANESE	1
vo_eny_eny_	brogun_	detect_player_02	vo_eny_eny_brogun_detect_player_02	omuk	hambo	Brogun	tense	sees a player character	Anh trai tao gửi mày tới đây!	My brother sent you!	4		0
vo_eny_eny_	brogun_	detect_player_proximity_00	vo_eny_eny_brogun_detect_player_proximity_00	omuk	hambo	Brogun	tense	senses a nearby player character	Có cảm giác…	That feeling…	2		0
vo_eny_eny_	brogun_	detect_player_proximity_01	vo_eny_eny_brogun_detect_player_proximity_01	omuk	hambo	Brogun	tense	senses a nearby player character	Có kẻ đang ở gần đây…	Someone's close…	2		0
vo_eny_eny_	brogun_	detect_player_proximity_02	vo_eny_eny_brogun_detect_player_proximity_02	omuk	hambo	Brogun	tense	senses a nearby player character	Có kẻ đang ở đây…	There's someone there…	3		0
vo_eny_eny_	brogun_	detect_unconscious_female_01	vo_eny_eny_brogun_detect_unconscious_female_01	omuk		Brogun	displeased	sees unconcious person	Ả ta bị đánh khá đau đấy.	She was hit badly.	4		0
vo_eny_eny_	brogun_	detect_unconscious_female_02	vo_eny_eny_brogun_detect_unconscious_female_02	omuk		Brogun	displeased	sees unconcious person	Ả ta ngất xỉu rồi.	She is unconscious.	3		0
vo_eny_eny_	brogun_	detect_unconscious_female_03	vo_eny_eny_brogun_detect_unconscious_female_03	omuk		Brogun	displeased	sees unconcious person	Ả ta bị tấn công.	She was attacked.	3		0
vo_eny_eny_	brogun_	detect_unconscious_male_00	vo_eny_eny_brogun_detect_unconscious_male_00	omuk		Brogun	displeased	sees unconcious person	Thằng này bị đánh khá đau đấy.	He was hit badly.	4		0
vo_eny_eny_	brogun_	detect_unconscious_male_01	vo_eny_eny_brogun_detect_unconscious_male_01	omuk		Brogun	displeased	sees unconcious person	Thằng này ngất xỉu rồi.	He is unconscious.	3		0
vo_eny_eny_	brogun_	detect_unconscious_male_02	vo_eny_eny_brogun_detect_unconscious_male_02	omuk		Brogun	displeased	sees unconcious person	Thằng này bị tấn công.	He was attacked.	3		0
vo_eny_eny_	brogun_	detect_unconscious_neutral_01	vo_eny_eny_brogun_detect_unconscious_neutral_01	omuk	hambo	Brogun	displeased	sees unconcious person	Mày ổn chứ?	Are you all right?	4		0
vo_eny_eny_	brogun_	detect_unconscious_neutral_02	vo_eny_eny_brogun_detect_unconscious_neutral_02	omuk	hambo	Brogun	displeased	sees unconcious person	Chuyện quái gì thế hả?	What happened?	2		0
vo_eny_eny_	brogun_	detect_unconscious_neutral_03	vo_eny_eny_brogun_detect_unconscious_neutral_03	omuk	hambo	Brogun	displeased	sees unconcious person	Sao mày nằm trên đất hả?	Why are you on the ground?	6		0
vo_eny_eny_	brogun_	friend_wakeup_00	vo_eny_eny_brogun_friend_wakeup_00	omuk	hambo	Brogun	annoyed	wakes unconcious person	Dậy ngay!	Wake up!	2		0
vo_eny_eny_	brogun_	friend_wakeup_01	vo_eny_eny_brogun_friend_wakeup_01	omuk	hambo	Brogun	annoyed	wakes unconcious person	Tiếp tục nhiệm vụ của mày đi!	Resume your duty!	3		0
vo_eny_eny_	brogun_	friend_wakeup_02	vo_eny_eny_brogun_friend_wakeup_02	omuk	hambo	Brogun	annoyed	wakes unconcious person	Đứng lên!	Stand up!	2		0
vo_eny_eny_	brogun_	hear_noise_00	vo_eny_eny_brogun_hear_noise_00	omuk	hambo	Brogun	calm	hears strange noise	Hmm?	Hmm?	1		0
vo_eny_eny_	brogun_	hear_noise_01	vo_eny_eny_brogun_hear_noise_01	omuk	hambo	Brogun	calm	hears strange noise	Đéo gì thế?	What was that?	3		0
vo_eny_eny_	brogun_	hear_noise_02	vo_eny_eny_brogun_hear_noise_02	omuk	hambo	Brogun	calm	hears strange noise	Tiếng động lạ…	A strange sound…	3		0
vo_eny_eny_	brogun_	hear_noise_directhit_00	vo_eny_eny_brogun_hear_noise_directhit_00	omuk		Brogun	calm	is hit by stone	…cái đéo gì trúng tao?	…what hit me?	3		0
vo_eny_eny_	brogun_	hear_noise_directhit_01	vo_eny_eny_brogun_hear_noise_directhit_01	omuk		Brogun	calm	is hit by stone	…đùa phải không?	…is this a joke?	4		0
vo_eny_eny_	brogun_	hear_noise_directhit_02	vo_eny_eny_brogun_hear_noise_directhit_02	omuk		Brogun	calm	is hit by stone	…óc chó.	…foolish.	1		0
vo_eny_eny_	brogun_	hear_noise_gunshot_00	vo_eny_eny_brogun_hear_noise_gunshot_00	omuk		Brogun	commanding	hears player gunshot	Chiến đấu! Tập hợp!	A fight! To arms!	4		0
vo_eny_eny_	brogun_	hear_noise_gunshot_01	vo_eny_eny_brogun_hear_noise_gunshot_01	omuk		Brogun	commanding	hears player gunshot	Không phải người của tao!	That was not one of ours!	6		0
vo_eny_eny_	brogun_	hear_noise_human_00	vo_eny_eny_brogun_hear_noise_human_00	omuk	hambo	Brogun	calm	hears human noise	Có ai đó ở đây?	Is someone there?	3		0
vo_eny_eny_	brogun_	hear_noise_human_01	vo_eny_eny_brogun_hear_noise_human_01	omuk	hambo	Brogun	commanding	hears human noise	Ra mặt đi!	Come out!	2		0
vo_eny_eny_	brogun_	hear_noise_human_02	vo_eny_eny_brogun_hear_noise_human_02	omuk	hambo	Brogun	commanding	hears human noise	Đừng nấp nữa!	Stop hiding!	2		0
vo_eny_eny_	brogun_	hear_noise_too_much_00	vo_eny_eny_brogun_hear_noise_too_much_00	omuk	hambo	Brogun	annoyed	irritated by a continuous string of strange noises	Dừng lại ngay.	Stop this at once.	4		0
vo_eny_eny_	brogun_	hear_noise_too_much_01	vo_eny_eny_brogun_hear_noise_too_much_01	omuk	hambo	Brogun	annoyed	irritated by a continuous string of strange noises	Thứ ngu xuẩn gì thế?	What foolishness is this?	4		0
vo_eny_eny_	brogun_	hear_noise_too_much_02	vo_eny_eny_brogun_hear_noise_too_much_02	omuk	hambo	Brogun	annoyed	irritated by a continuous string of strange noises	Tao không có thời gian cho chuyện này!	I have no time for this!	6		0
vo_eny_eny_	brogun_	knockout_scream_00	vo_eny_eny_brogun_knockout_scream_00	omuk	hambo	Brogun	pain	(sound) gets knocked out			0		0
vo_eny_eny_	brogun_	knockout_scream_01	vo_eny_eny_brogun_knockout_scream_01	omuk	hambo	Brogun	pain	(sound) gets knocked out			0		0
vo_eny_eny_	brogun_	knockout_scream_02	vo_eny_eny_brogun_knockout_scream_02	omuk	hambo	Brogun	pain	(sound) gets knocked out			0		0
vo_eny_eny_	brogun_	regain_consciousness_00	vo_eny_eny_brogun_regain_consciousness_00	omuk	hambo	Brogun	contempt	knocked out, wakes up	Ugh…ngừng đùa với tao đi.	Ugh…stop toying with me.	4		0
vo_eny_eny_	brogun_	regain_consciousness_01	vo_eny_eny_brogun_regain_consciousness_01	omuk	hambo	Brogun	contempt	knocked out, wakes up	…hoàn thành nó.	…finish it.	2		0
vo_eny_eny_	brogun_	regain_consciousness_02	vo_eny_eny_brogun_regain_consciousness_02	omuk	hambo	Brogun	contempt	knocked out, wakes up	Mày không có danh dự hả?	Have you no honor?	4		0
vo_eny_eny_	brogun_	see_something_00	vo_eny_eny_brogun_see_something_00	omuk	hambo	Brogun	calm	sees something strange	Cái khỉ gì thế?	What is this?	3		0
vo_eny_eny_	brogun_	see_something_01	vo_eny_eny_brogun_see_something_01	omuk	hambo	Brogun	calm	sees something strange	Hmm?	Hmm?	1		0
vo_eny_eny_	brogun_	see_something_02	vo_eny_eny_brogun_see_something_02	omuk	hambo	Brogun	calm	sees something strange	Có gì đó…	Something…	1		0
vo_eny_eny_	brogun_	easteregg_00	vo_eny_eny_brogun_easteregg_00	omuk		Brogun		quote from the movie Shogun Assassin  https://www.youtube.com/watch?v=0JK3E6s-zQ8&feature=youtu.be&t=4m4s	Kĩ thuật của mày tuyệt vời đấy.	Your technique is magnificent.	4		0
vo_eny_eny_	brogun_	easteregg_01	vo_eny_eny_brogun_easteregg_01	omuk		Brogun		quote from the movie Shogun Assassin	Khi vết chém đi ngang cổ, chúng bảo một âm thanh như tiếng khóc mùa đông được nghe thấy.	When cut across the neck, a sound like wailing winter winds is heard, they say.	15		0
vo_eny_eny_	brogun_	easteregg_02	vo_eny_eny_brogun_easteregg_02	omuk		Brogun		quote from the movie Shogun Assassin	Tao đã luôn hi vọng có một ngày được cắt đầu một ai đó, để nghe xem âm thanh sẽ ra sao.	I'd always hoped to cut someone like that someday, to hear that sound.	13		0
vo_eny_eny_	brogun_	easteregg_03	vo_eny_eny_brogun_easteregg_03	omuk		Brogun		quote from the movie Shogun Assassin	Nhưng nó mà xảy ra với cái cổ của tao thì quá vô lý.	But to have it happen to my own neck is ridiculous.	11		0
													
									WORDCOUNT EN:	WORDCOUNT EN:	172	WORDCOUNT DE:	2
