5,2,9		CUTSCENE CONTEXT WORLD				NINJA TRAPPER WARRIOR ALCHEMIST GEISHA TANUKI SHOGUN SHOGUNSON DAIMYO GENERAL BROGUN BROGUNSON	Hayato  Yuki  Ōshiro Mugen Takuma  Aiko  Kuma Shogun Ryūnosuke Yabu Okkoto Noboru Masaru	STORY:	1) The convoy belongs to the local Daimyo Yabu. He could be Kage-sama. 2) Hayato has uncovered that Takuma is alive. 3) Takuma is held captive by Yabu in the temple where the convoy originated. 4) Mugen goes to meet the unknown team member there and rescue him.	1) The convoy belongs to the local Daimyo Yabu. He could be Kage-sama. 2) Hayato has uncovered that Takuma is alive. 3) Takuma is held captive by Yabu in the temple where the convoy originated. 4) Mugen goes to meet the unknown team member there and rescue him.																												
																																						
POST									In their meeting place the team discusses their next moves. Hayato appears with interesting news.	In their meeting place the team discusses their next moves. Hayato appears with interesting news.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	EN - Proofread	CEN	DE	CDE	Column1																								
vocs_over_over_	_n12	vocs_over_over_snowcity_post_n12				WARRIOR	pleased		Thật sự ta nghi ngờ ngôi đền này là nguồn gốc của cuộc vận chuyển vũ khí trái phép.	Indeed. And I also suspect this temple to be the origin of the illegal weapon transports.	16		0																									
vocs_over_over_	_n12a	vocs_over_over_snowcity_post_n12a				WARRIOR	pleased		Sẽ tìm ra sớm thôi. Ngôi đền này phải là nguồn gốc của cuộc vận chuyển vũ khí trái phép.	We will find out soon. This temple must be the origin of the illegal weapon transports.	16		0																									
vocs_over_over_	_n13	vocs_over_over_snowcity_post_n13				TRAPPER	cautious		Uhm… Takuma-san là ai?	Uhm… Who's Takuma-san?	3		0																									
vocs_over_over_	_n14	vocs_over_over_snowcity_post_n14				WARRIOR	explaining	preparing to leave	Một người đàn ông mà chúng ta mang nặng ơn huệ. Ta sẽ tới núi Tsuru.	A man we owe a great debt. I will head for Mount Tsuru at once.	15		0																									
vocs_over_over_	_n15	vocs_over_over_snowcity_post_n15				NINJA	eager		Còn bọn tôi?	What about us?	3		0																									
vocs_over_over_	_n16	vocs_over_over_snowcity_post_n16				WARRIOR	planning	still looking at his gear	Một cuộc đụng độ với Yabu dường như không ít thì nhiều. Chúng ta phải thu thập thông tin, trong trường hợp này cần phải xử lý nhanh gọn.	A confrontation with Lord Yabu seems more and more likely. We must gather information, in case we need to act fast.	21		0																									
vocs_over_over_	_n17	vocs_over_over_snowcity_post_n17				NINJA	surprised	Mugen turns to Hayato	Anh không cần trợ giúp ở đền thờ hả?	Don't you need help at the temple?	7		0																									
vocs_over_over_	_n18	vocs_over_over_snowcity_post_n18				WARRIOR	explaining slight teasing		Đừng lo, Hayato-san. Ta sẽ gặp một cộng sự cũ.	Do not worry, Hayato-san. I will meet with an old associate of mine.	13		0																									
vocs_over_over_	_n19	vocs_over_over_snowcity_post_n19				WARRIOR	explaining	turning to leave	Bên cạnh đó, ta hứa Yuki-chan sẽ có thể học tập từ cậu.	Besides, I promised Yuki-chan that she could learn from you.	10		0																									
vocs_over_over_	_n20	vocs_over_over_snowcity_post_n20				NINJA	disbelief	as Mugen leaves	Đợi phát…anh đã làm khỉ gì?	Wait…you did what?	3		0																									
vocs_over_over_	_n21	vocs_over_over_snowcity_post_n21				WARRIOR	instructing		Hai ta tới do thám nơi trú ngụ của lãnh chúa Yabu. Và giờ có được mấy thứ trên cái bàn đó.	The two of you will scout Lord Yabu's residence. I left some directions on the table.	16		0																									
vocs_over_over_	_n22	vocs_over_over_snowcity_post_n22				WARRIOR	instructing	leaves	Tìm hiểu mọi thứ cậu có thể làm, rồi chờ tôi quay lại.	Find out everything you can, then wait for my return.	10		0																									
vocs_over_over_	_n23	vocs_over_over_snowcity_post_n23				TRAPPER	wondering		Chú ấy đi gặp ai vậy?	Who is he meeting?	4		0																									
vocs_over_over_	_n24	vocs_over_over_snowcity_post_n24				NINJA	briefly wondering		Hmm…anh nghĩ chúng ta sẽ sớm biết thôi.	Hmm…I think we'll find out soon.	6		0																									
vocs_over_over_	_n25	vocs_over_over_snowcity_post_n25				NINJA	focussed	walks to the table	Dù sao, chúng ta hãy tìm xem biệt thư của lãnh chúa Yabu ở đâu.	Anyway, let's see where this Lord Yabu has his estate.	10		0																									
vocs_over_over_	_n26	vocs_over_over_snowcity_post_n26				TRAPPER	enthusiastic		Hai, sensei!	Hai, sensei!	2		0																									
vocs_over_over_	_n27	vocs_over_over_snowcity_post_n27				NINJA	here we go again	*sigh*	Oy…	Oy…	1		0																									
																																						
												MISSION-WORDCOUNT DE:	#REF!		TOTAL	NINJA	TRAPPER	WARRIOR	GEISHA	ALCHEMIST	SHOGUN	SHOGUNSON	BROGUN	BROGUNSON	DAIMYO	GENERAL	NARRATOR	OFFICER	ENEMY	STATIC	SAMURAI	OFFICIAL	CIVILIAN M	CIVILIAN F	HUSBAND	GUARD1	GUARD2	FAKE
														Words	310	78	11	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
														Lines	31	11	5	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
