2,3,9														
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN	EN	CEN	JP	CDE	
vo_eny_eny_	civilian_00_	detect_corpse_female_02	vo_eny_eny_civilian_00_detect_corpse_female_02	omuk		Civilian M	shocked	sees a corpse	Cô ấy đã chết!	She's dead!	2		0	
vo_eny_eny_	civilian_00_	detect_corpse_female_03	vo_eny_eny_civilian_00_detect_corpse_female_03	omuk		Civilian M	shocked	sees a corpse	Chúng đã giết cô ấy!	They killed her!	3		0	
vo_eny_eny_	civilian_00_	detect_corpse_male_00	vo_eny_eny_civilian_00_detect_corpse_male_00	omuk		Civilian M	shocked	sees a corpse	Anh ta đã chết!	He is dead!	3		0	
vo_eny_eny_	civilian_00_	detect_corpse_male_01	vo_eny_eny_civilian_00_detect_corpse_male_01	omuk		Civilian M	shocked	sees a corpse	Chúng đã giết anh ta!	They killed him!	3		0	
vo_eny_eny_	civilian_00_	detect_corpse_neutral_00	vo_eny_eny_civilian_00_detect_corpse_neutral_00	omuk	hambo	Civilian M	shocked	sees a corpse	Cứu với! Có kẻ giết người!	Help! Murder!	2		0	
vo_eny_eny_	civilian_00_	detect_corpse_neutral_01	vo_eny_eny_civilian_00_detect_corpse_neutral_01	omuk	hambo	Civilian M	shocked	sees a corpse	Có một kẻ giết người!	There's a killer!	3		0	
vo_eny_eny_	civilian_00_	detect_footsteps_00	vo_eny_eny_civilian_00_detect_footsteps_00	omuk	hambo	Civilian M	puzzled	sees player footprints	Dấu vết lạ.	Strange tracks.	2		0	
vo_eny_eny_	civilian_00_	detect_footsteps_01	vo_eny_eny_civilian_00_detect_footsteps_01	omuk	hambo	Civilian M	puzzled	sees player footprints	Hmm…nó hơi lạ.	Hmm…this is unfamiliar.	3		0	
vo_eny_eny_	civilian_00_	detect_footsteps_02	vo_eny_eny_civilian_00_detect_footsteps_02	omuk	hambo	Civilian M	puzzled	sees player footprints	Ai đã ở đây?	Who went here?	3		0	
vo_eny_eny_	civilian_00_	detect_lightsource_00	vo_eny_eny_civilian_00_detect_lightsource_00	omuk	hambo	Civilian M	solemn	sees extiguished lamp, but…	Ngày lộng gió.	Strong wind today.	3		0	
vo_eny_eny_	civilian_00_	detect_lightsource_01	vo_eny_eny_civilian_00_detect_lightsource_01	omuk	hambo	Civilian M	solemn	sees extiguished lamp, but…	Trời quá ẩm ướt.	Weather's too wet.	3		0	
vo_eny_eny_	civilian_00_	detect_lightsource_02	vo_eny_eny_civilian_00_detect_lightsource_02	omuk	hambo	Civilian M	annoyed	sees extiguished lamp, but…	Huh? Lửa tàn rồi!	Huh? The flame died!	4		0	
vo_eny_eny_	civilian_00_	detect_player_00	vo_eny_eny_civilian_00_detect_player_00	omuk	hambo	Civilian M	frightened	sees a player character	Ahh! Giúp với!	Ahh! Help!	2	JAPANESE	1	
vo_eny_eny_	civilian_00_	detect_player_01	vo_eny_eny_civilian_00_detect_player_01	omuk	hambo	Civilian M	frightened	sees a player character	Aaaaah!	Aaaaah!	1	JAPANESE	1	
vo_eny_eny_	civilian_00_	detect_player_02	vo_eny_eny_civilian_00_detect_player_02	omuk	hambo	Civilian M	frightened	sees a player character	Lính canh!	Guards!	1		0	
vo_eny_eny_	civilian_00_	detect_player_proximity_00	vo_eny_eny_civilian_00_detect_player_proximity_00	omuk	hambo	Civilian M	tense	senses a nearby player character	Cảm giác…	That feeling…	2		0	
vo_eny_eny_	civilian_00_	detect_player_proximity_01	vo_eny_eny_civilian_00_detect_player_proximity_01	omuk	hambo	Civilian M	tense	senses a nearby player character	Khóe mắt của mình.	Corner of my eye.	4		0	
vo_eny_eny_	civilian_00_	detect_player_proximity_02	vo_eny_eny_civilian_00_detect_player_proximity_02	omuk	hambo	Civilian M	tense	senses a nearby player character	Có ai đó ở gần đây…	Someone's close…	2		0	
vo_eny_eny_	civilian_00_	detect_sake_00	vo_eny_eny_civilian_00_detect_sake_00	omuk	hambo	Civilian M	good mood	wants to pick up the sake bottle	Thật hiếm có. Mình hên quá.	A rare find. I'm in luck.	6		0	
vo_eny_eny_	civilian_00_	detect_sake_01	vo_eny_eny_civilian_00_detect_sake_01	omuk	hambo	Civilian M	good mood	wants to pick up the sake bottle	Có thể là món quà cho vợ.	A gift for the wife. …maybe.	6		0	
vo_eny_eny_	civilian_00_	detect_sake_02	vo_eny_eny_civilian_00_detect_sake_02	omuk	hambo	Civilian M	good mood	wants to pick up the sake bottle	Một đầy tớ phải vứt nó.	A servant must have dropped it.	6		0	
vo_eny_eny_	civilian_00_	detect_tanuki_00	vo_eny_eny_civilian_00_detect_tanuki_00	omuk	hambo	Civilian M	relieved	sees the tanuki	Oh…chỉ là con lửng chó.	Oh…just a tanuki.	3		0	
vo_eny_eny_	civilian_00_	detect_tanuki_01	vo_eny_eny_civilian_00_detect_tanuki_01	omuk	hambo	Civilian M	relieved	sees the tanuki	Oh-ho, nhìn mày có vẻ vô hại.	Oh-ho, you look harmless.	4		0	
vo_eny_eny_	civilian_00_	detect_tanuki_02	vo_eny_eny_civilian_00_detect_tanuki_02	omuk	hambo	Civilian M	nervous	sees the tanuki	Huh? Lửng chó? Mày muốn gì?	Huh? A tanuki? What do you want?	7		0	
vo_eny_eny_	civilian_00_	detect_unconscious_female_01	vo_eny_eny_civilian_00_detect_unconscious_female_01	omuk		Civilian M	shocked	sees unconcious person	Cô ấy bị đánh rất tệ.	She was hit badly.	4		0	
vo_eny_eny_	civilian_00_	detect_unconscious_female_02	vo_eny_eny_civilian_00_detect_unconscious_female_02	omuk		Civilian M	shocked	sees unconcious person	Cô ấy ngất xỉu.	She's unconscious!	2		0	
vo_eny_eny_	civilian_00_	detect_unconscious_female_03	vo_eny_eny_civilian_00_detect_unconscious_female_03	omuk		Civilian M	shocked	sees unconcious person	Cô ấy bị tấn công.	She was attacked.	3		0	
vo_eny_eny_	civilian_00_	detect_unconscious_male_00	vo_eny_eny_civilian_00_detect_unconscious_male_00	omuk		Civilian M	shocked	sees unconcious person	Anh ta bị đánh rất tệ.	He was hit badly.	4		0	
vo_eny_eny_	civilian_00_	detect_unconscious_male_01	vo_eny_eny_civilian_00_detect_unconscious_male_01	omuk		Civilian M	shocked	sees unconcious person	Anh ta bị ngất xỉu.	He is unconscious.	3		0	
vo_eny_eny_	civilian_00_	detect_unconscious_male_02	vo_eny_eny_civilian_00_detect_unconscious_male_02	omuk		Civilian M	shocked	sees unconcious person	Anh ta bị tấn công.	He was attacked.	3		0	
vo_eny_eny_	civilian_00_	detect_unconscious_neutral_01	vo_eny_eny_civilian_00_detect_unconscious_neutral_01	omuk	hambo	Civilian M	nervous	sees unconcious person	Ổn cả chứ?	Are you all right?	4		0	
vo_eny_eny_	civilian_00_	detect_unconscious_neutral_02	vo_eny_eny_civilian_00_detect_unconscious_neutral_02	omuk	hambo	Civilian M	worried	sees unconcious person	Có chuyện gì thế?	W-what happened?	2		0	
vo_eny_eny_	civilian_00_	detect_unconscious_neutral_03	vo_eny_eny_civilian_00_detect_unconscious_neutral_03	omuk	hambo	Civilian M	nervous	sees unconcious person	Hey! Sao nằm trên đất vậy?	Hey! Why are you on the ground?	7		0	
vo_eny_eny_	civilian_00_	drink_weeping_00	vo_eny_eny_civilian_00_drink_weeping_00	omuk		Civilian M		(sound) weeping			0		0	
vo_eny_eny_	civilian_00_	drop_object_00	vo_eny_eny_civilian_00_drop_object_00	omuk		Civilian M		(sound) lays down heavy object			0		0	
vo_eny_eny_	civilian_00_	fetch_guard_00	vo_eny_eny_civilian_00_fetch_guard_00	omuk	hambo	Civilian M	hectic	points guard to where he saw a player character	Đằng kia! Tôi đã thấy chúng!	Over there! I saw them!	5	JAPANESE	1	
vo_eny_eny_	civilian_00_	fetch_guard_01	vo_eny_eny_civilian_00_fetch_guard_01	omuk	hambo	Civilian M	hectic	points guard to where he saw a player character	Kẻ tấn công! Hắn đến từ chỗ kia!	Attackers! They came from there!	5		0	
vo_eny_eny_	civilian_00_	fetch_guard_02	vo_eny_eny_civilian_00_fetch_guard_02	omuk	hambo	Civilian M	pleading	points guard to where he saw a player character	Tôi xin anh hãy bảo vệ chúng tôi.	I beg you, protect us.	5		0	
vo_eny_eny_	civilian_00_	friend_missing_female_00	vo_eny_eny_civilian_00_friend_missing_female_00	omuk		Civilian M	worried	his partner is missing	Cô ấy đâu rồi?	Where is she?	3		0	
vo_eny_eny_	civilian_00_	friend_missing_female_01	vo_eny_eny_civilian_00_friend_missing_female_01	omuk		Civilian M	worried	his partner is missing	Cô ấy phải ở đây.	She should be here.	4		0	
vo_eny_eny_	civilian_00_	friend_missing_male_00	vo_eny_eny_civilian_00_friend_missing_male_00	omuk		Civilian M	worried	his partner is missing	Anh ta đâu rồi?	Where is he?	3		0	
vo_eny_eny_	civilian_00_	friend_missing_male_01	vo_eny_eny_civilian_00_friend_missing_male_01	omuk		Civilian M	worried	his partner is missing	Anh ta phải ở đây.	He should be here.	4		0	
vo_eny_eny_	civilian_00_	friend_missing_neutral_01	vo_eny_eny_civilian_00_friend_missing_neutral_01	omuk	hambo	Civilian M	worried	his partner is missing	Sao lâu thế nhỉ?	What is taking so long?	5		0	
vo_eny_eny_	civilian_00_	friend_missing_neutral_02	vo_eny_eny_civilian_00_friend_missing_neutral_02	omuk	hambo	Civilian M	worried	his partner is missing	Được một thời gian rồi…	It's past time…	3		0	
vo_eny_eny_	civilian_00_	friend_wakeup_00	vo_eny_eny_civilian_00_friend_wakeup_00	omuk	hambo	Civilian M	worried	wakes unconcious person	Dậy đi!	Wake up!	2		0	
vo_eny_eny_	civilian_00_	friend_wakeup_01	vo_eny_eny_civilian_00_friend_wakeup_01	omuk	hambo	Civilian M	anxious	wakes unconcious person	Ai đã gây ra chuyện này?	Who did this to you?	5		0	
vo_eny_eny_	civilian_00_	friend_wakeup_02	vo_eny_eny_civilian_00_friend_wakeup_02	omuk	hambo	Civilian M	worried	wakes unconcious person	Bị thương hả?	Are you injured?	3		0	
vo_eny_eny_	civilian_00_	hard_work_00	vo_eny_eny_civilian_00_hard_work_00	omuk		Civilian M		(sound) pushing cart, plowing field			0		0	
vo_eny_eny_	civilian_00_	hear_noise_00	vo_eny_eny_civilian_00_hear_noise_00	omuk	hambo	Civilian M	startled	hears strange noise	Huh?	Huh?	1		0	
vo_eny_eny_	civilian_00_	hear_noise_01	vo_eny_eny_civilian_00_hear_noise_01	omuk	hambo	Civilian M	startled	hears strange noise	Cái gì thế?	What was that?	3		0	
vo_eny_eny_	civilian_00_	hear_noise_02	vo_eny_eny_civilian_00_hear_noise_02	omuk	hambo	Civilian M	puzzled	hears strange noise	Tiếng động lạ…	Strange sound…	2		0	
vo_eny_eny_	civilian_00_	hear_noise_directhit_00	vo_eny_eny_civilian_00_hear_noise_directhit_00	omuk		Civilian M	puzzled	is hit by stone	Argh! …cái gì trúng mình thế?	Argh! …what hit me?	4		0	
vo_eny_eny_	civilian_00_	hear_noise_directhit_01	vo_eny_eny_civilian_00_hear_noise_directhit_01	omuk		Civilian M	afraid	is hit by stone	Huh? …Khó hiểu vđ.	Huh? …I don't understand.	4		0	
vo_eny_eny_	civilian_00_	hear_noise_directhit_02	vo_eny_eny_civilian_00_hear_noise_directhit_02	omuk		Civilian M	afraid	is hit by stone	Ah, dừng lại! Tao xin mày đấy!	Ah, stop! I beg you!	5		0	
vo_eny_eny_	civilian_00_	hear_noise_gunshot_00	vo_eny_eny_civilian_00_hear_noise_gunshot_00	omuk		Civilian M	shocked	hears player gunshot	Ồn khủng khiếp!	That terrible noise!	3		0	
vo_eny_eny_	civilian_00_	hear_noise_gunshot_01	vo_eny_eny_civilian_00_hear_noise_gunshot_01	omuk		Civilian M	shocked	hears player gunshot	Pháo bẳn?	Cannon fire!	2		0	
vo_eny_eny_	civilian_00_	hear_noise_gunshot_02	vo_eny_eny_civilian_00_hear_noise_gunshot_02	omuk		Civilian M	shocked	hears player gunshot	Chúng ta đang bị tấn công!	We are being attacked!	4		0	
vo_eny_eny_	civilian_00_	hear_noise_human_00	vo_eny_eny_civilian_00_hear_noise_human_00	omuk	hambo	Civilian M	tense	hears human noise	Có…ai đó ở đây?	Is…someone there?	2		0	
vo_eny_eny_	civilian_00_	hear_noise_human_01	vo_eny_eny_civilian_00_hear_noise_human_01	omuk	hambo	Civilian M	afraid	hears human noise	Làm ơn ra đây coi!	Please, come out!	3		0	
vo_eny_eny_	civilian_00_	hear_noise_human_02	vo_eny_eny_civilian_00_hear_noise_human_02	omuk	hambo	Civilian M	afraid	hears human noise	Sao lại nấp nhứ thế?	Why are you hiding?	4		0	
vo_eny_eny_	civilian_00_	hear_noise_too_much_00	vo_eny_eny_civilian_00_hear_noise_too_much_00	omuk	hambo	Civilian M	annoyed	irritated by a continuous string of strange noises	Lũ trẻ chơi quanh đây hả?	Are there children around?	4		0	
vo_eny_eny_	civilian_00_	hear_noise_too_much_01	vo_eny_eny_civilian_00_hear_noise_too_much_01	omuk	hambo	Civilian M	anxious	irritated by a continuous string of strange noises	Mình không hiểu.	I don't understand.	3		0	
vo_eny_eny_	civilian_00_	hear_noise_too_much_02	vo_eny_eny_civilian_00_hear_noise_too_much_02	omuk	hambo	Civilian M	annoyed	irritated by a continuous string of strange noises	Dừng lại! Tao xin mày!	Stop! I beg you!	4		0	
vo_eny_eny_	civilian_00_	hum_00	vo_eny_eny_civilian_00_hum_00	omuk		Civilian M		(sound) humming tune			0		0	
vo_eny_eny_	civilian_00_	investigate_end_00	vo_eny_eny_civilian_00_investigate_end_00	omuk	hambo	Civilian M	fearful	(not like in squad)	Một vong linh xấu xa ư?	An evil spirit, perhaps?	4		0	
vo_eny_eny_	civilian_00_	investigate_end_01	vo_eny_eny_civilian_00_investigate_end_01	omuk	hambo	Civilian M	fearful	(not like in squad)	Mình phải tưởng tượng nó.	I must have imagined it.	5		0	
vo_eny_eny_	civilian_00_	investigate_end_02	vo_eny_eny_civilian_00_investigate_end_02	omuk	hambo	Civilian M	fearful	(not like in squad)	Tâm trí đang chơi đểu mình!	Ah, my mind is playing tricks on me!	8		0	
vo_eny_eny_	civilian_00_	knockout_scream_00	vo_eny_eny_civilian_00_knockout_scream_00	omuk	hambo	Civilian M	pain	(sound) gets knocked out			0		0	
vo_eny_eny_	civilian_00_	knockout_scream_01	vo_eny_eny_civilian_00_knockout_scream_01	omuk	hambo	Civilian M	pain	(sound) gets knocked out			0		0	
vo_eny_eny_	civilian_00_	knockout_scream_02	vo_eny_eny_civilian_00_knockout_scream_02	omuk	hambo	Civilian M	pain	(sound) gets knocked out			0		0	
vo_eny_eny_	civilian_00_	make_oxwagondrive_00	vo_eny_eny_civilian_00_make_oxwagondrive_00	omuk		Civilian M		(sound) wagon driver drives ox onward			0		0	
vo_eny_eny_	civilian_00_	laugh_oxwagonhalt_00	vo_eny_eny_civilian_00_laugh_oxwagonhalt_00	omuk		Civilian M		(sound) wagon driver commands ox to halt			0		0	
vo_eny_eny_	civilian_00_	pickup_object_00	vo_eny_eny_civilian_00_pickup_object_00	omuk		Civilian M		(sound) picks up heavy object			0		0	
vo_eny_eny_	civilian_00_	regain_consciousness_00	vo_eny_eny_civilian_00_regain_consciousness_00	omuk	hambo	Civilian M	headache	knocked out, wakes up	Ugh, đầu mình…	Ugh, my head…	3		0	
vo_eny_eny_	civilian_00_	regain_consciousness_01	vo_eny_eny_civilian_00_regain_consciousness_01	omuk	hambo	Civilian M	headache	knocked out, wakes up	Ooh, đau đấy.	Ooh, that hurt.	3		0	
vo_eny_eny_	civilian_00_	regain_consciousness_02	vo_eny_eny_civilian_00_regain_consciousness_02	omuk	hambo	Civilian M	afraid	knocked out, wakes up	…Ai tấn công mình vậy nhỉ?	…what attacked me?	3		0	
vo_eny_eny_	civilian_00_	see_something_00	vo_eny_eny_civilian_00_see_something_00	omuk	hambo	Civilian M	curious	sees something strange	Cái gì?	What?	1		0	
vo_eny_eny_	civilian_00_	see_something_01	vo_eny_eny_civilian_00_see_something_01	omuk	hambo	Civilian M	curious	sees something strange	Huh?	Huh?	1		0	
vo_eny_eny_	civilian_00_	see_something_02	vo_eny_eny_civilian_00_see_something_02	omuk	hambo	Civilian M	curious	sees something strange	Có… gì đó…?	It… Something…?	2		0	
vo_eny_eny_	civilian_00_	skill_tanuki_done_00	vo_eny_eny_civilian_00_skill_tanuki_done_00	omuk	hambo	Civilian M	back to work	stops watching tanuki	Ah, tốt thôi. Quay lại làm việc nào.	Ah, well. Back to work.	5		0	
vo_eny_eny_	civilian_00_	skill_tanuki_done_01	vo_eny_eny_civilian_00_skill_tanuki_done_01	omuk	hambo	Civilian M	apologetic	stops watching tanuki	Xin lỗi, Tao không có gì cho mày cả.	Sorry, I've got nothing for you.	6		0	
vo_eny_eny_	civilian_00_	skill_tanuki_done_02	vo_eny_eny_civilian_00_skill_tanuki_done_02	omuk	hambo	Civilian M	back to work	stops watching tanuki	Đủ rồi. Tao phải đi làm việc đây.	Enough. I have work to do.	6		0	
vo_eny_eny_	civilian_00_	skill_tanuki_runaway_00	vo_eny_eny_civilian_00_skill_tanuki_runaway_00	omuk	hambo	Civilian M	goodbye	tanuki runs away	Được, đi theo mày!	All right, off you go.	5		0	
vo_eny_eny_	civilian_00_	skill_tanuki_runaway_01	vo_eny_eny_civilian_00_skill_tanuki_runaway_01	omuk	hambo	Civilian M	annoyed	tanuki runs away	Được thôi, đi với mày.	That's right. Away with you!	5		0	
vo_eny_eny_	civilian_00_	skill_tanuki_runaway_02	vo_eny_eny_civilian_00_skill_tanuki_runaway_02	omuk	hambo	Civilian M	back to work	tanuki runs away	Nó đã đi. …quay lại làm việc thôi.	There he goes. …back to work!	6		0	
vo_eny_eny_	civilian_00_	talk_geisha_00	vo_eny_eny_civilian_00_talk_geisha_00	omuk		Civilian M	neutral	is approached by Geisha (Excuse me …)	Cái gì?	What?	1		0	
vo_eny_eny_	civilian_00_	talk_geisha_01	vo_eny_eny_civilian_00_talk_geisha_01	omuk		Civilian M	friendly	is approached by Geisha (Excuse me …)	C-có?	Y-yes?	1		0	
vo_eny_eny_	civilian_00_	talk_geisha_02	vo_eny_eny_civilian_00_talk_geisha_02	omuk		Civilian M	shy	is approached by Geisha (Excuse me …)	Oh… Uhm, đúng hả?	Oh… Uhm, yes?	3		0	
vo_eny_eny_	civilian_00_	talk_geisha_03	vo_eny_eny_civilian_00_talk_geisha_03	omuk		Civilian M	friendly	is approached by Geisha (Excuse me …)	Anh có thể giúp gì không?	How can I help?	4		0	
vo_eny_eny_	civilian_00_	talk_geisha_04	vo_eny_eny_civilian_00_talk_geisha_04	omuk		Civilian M	neutral	is approached by Geisha (Excuse me …)	Hmm?	Hmm?	1		0	
vo_eny_eny_	civilian_00_	talk_geisha_leave_00	vo_eny_eny_civilian_00_talk_geisha_leave_00	omuk		Civilian M	charmed	is left by Geisha (I thank you. Farewell ...)	Oh, ah…tạm biệt.	Oh, ah…goodbye.	2		0	
vo_eny_eny_	civilian_00_	talk_geisha_leave_01	vo_eny_eny_civilian_00_talk_geisha_leave_01	omuk		Civilian M	friendly	is left by Geisha (I thank you. Farewell ...)	Oh, vui ghê!	Oh, my pleasure!	3		0	
vo_eny_eny_	civilian_00_	talk_geisha_leave_02	vo_eny_eny_civilian_00_talk_geisha_leave_02	omuk		Civilian M	friendly	is left by Geisha (I thank you. Farewell ...)	Đừng có mà nghĩ bậy nha mày.	Think nothing of it.	4		0	
vo_eny_eny_	civilian_00_	talk_geisha_leave_03	vo_eny_eny_civilian_00_talk_geisha_leave_03	omuk		Civilian M	disappointed	is left by Geisha (I thank you. Farewell ...)	Oh, emm, er…được rồi!	Oh, emm, er…right!	3		0	
vo_eny_eny_	civilian_00_	talk_geisha_leave_04	vo_eny_eny_civilian_00_talk_geisha_leave_04	omuk		Civilian M	friendly	is left by Geisha (I thank you. Farewell ...)	Vĩnh biệt!	Farewell!	1		0	
vo_gothic_gothic_	civilian_00_	talk_idle_00	vo_gothic_gothic_civilian_00_talk_idle_00	omuk		Civilian M	relaxed	(sound) humming tune			0		0	
vo_gothic_gothic_	civilian_00_	talk_idle_01	vo_gothic_gothic_civilian_00_talk_idle_01	omuk		Civilian M		(sound) sneeze			0		0	
vo_gothic_gothic_	civilian_00_	talk_idle_02	vo_gothic_gothic_civilian_00_talk_idle_02	omuk		Civilian M	surprised	to himself, slight mumbling	Hmm!	Hmm!	1		0	
vo_gothic_gothic_	civilian_00_	talk_idle_03	vo_gothic_gothic_civilian_00_talk_idle_03	omuk		Civilian M	surprised	to himself, slight mumbling	Ah!	Ah!	1		0	
vo_gothic_gothic_	civilian_00_	talk_idle_04	vo_gothic_gothic_civilian_00_talk_idle_04	omuk		Civilian M	in thought	to himself, slight mumbling	Hmm…	Hmm…	1		0	
vo_gothic_gothic_	civilian_00_	talk_idle_05	vo_gothic_gothic_civilian_00_talk_idle_05	omuk		Civilian M	in thought	to himself, slight mumbling	Hm, được.	Hm, yes.	2		0	
vo_gothic_gothic_	civilian_00_	talk_idle_06	vo_gothic_gothic_civilian_00_talk_idle_06	omuk		Civilian M	relaxed	long exhale	Ahh…	Ahh…	1		0	
vo_gothic_gothic_	civilian_00_	talk_idle_afraid_00	vo_gothic_gothic_civilian_00_talk_idle_afraid_00	omuk		Civilian M	afraid	weak, helpless	Không!	No!	1		0	
vo_gothic_gothic_	civilian_00_	talk_idle_afraid_01	vo_gothic_gothic_civilian_00_talk_idle_afraid_01	omuk		Civilian M	afraid	weak, helpless	…tại sao…	…why…	1		0	
vo_gothic_gothic_	civilian_00_	talk_idle_afraid_02	vo_gothic_gothic_civilian_00_talk_idle_afraid_02	omuk		Civilian M	afraid	weak, helpless	Làm ơn dừng lại… Làm ơn…	Please stop this… Please…	4		0	
vo_gothic_gothic_	civilian_00_	talk_idle_afraid_03	vo_gothic_gothic_civilian_00_talk_idle_afraid_03	omuk		Civilian M	afraid	weak, helpless	…cứu với…	…help…	1		0	
vo_gothic_gothic_	civilian_00_	talk_idle_afraid_04	vo_gothic_gothic_civilian_00_talk_idle_afraid_04	omuk		Civilian M	afraid	weak, helpless	…ai đó…	…anyone…	1		0	
vo_gothic_gothic_	civilian_00_	talk_idle_night_00	vo_gothic_gothic_civilian_00_talk_idle_night_00	omuk		Civilian M	tired	mumbling	Hmm… Sa kê.	Hmm… Sake.	2		0	
vo_gothic_gothic_	civilian_00_	talk_idle_night_01	vo_gothic_gothic_civilian_00_talk_idle_night_01	omuk		Civilian M	tired	mumbling	Cả ngày thế này rồi.	Been up all day.	4		0	
vo_gothic_gothic_	civilian_00_	talk_idle_night_02	vo_gothic_gothic_civilian_00_talk_idle_night_02	omuk		Civilian M	tired	mumbling	Đêm đen.	Night's dark.	2		0	
vo_gothic_gothic_	civilian_00_	talk_idle_night_03	vo_gothic_gothic_civilian_00_talk_idle_night_03	omuk		Civilian M	tired	(sound) short yawn			0		0	
vo_gothic_gothic_	civilian_00_	talk_idle_night_04	vo_gothic_gothic_civilian_00_talk_idle_night_04	omuk		Civilian M	tired	(sound) longer yawn			0		0	
vo_gothic_gothic_	civilian_00_	talk_idle_snow_00	vo_gothic_gothic_civilian_00_talk_idle_snow_00	omuk		Civilian M	cold	mumbling	Mẹ kiếp, tuyết.	Damn snow.	2		0	
vo_gothic_gothic_	civilian_00_	talk_idle_snow_01	vo_gothic_gothic_civilian_00_talk_idle_snow_01	omuk		Civilian M	cold	mumbling	Thun hết chim cmnr.	It's freezing.	2		0	
vo_gothic_gothic_	civilian_00_	talk_idle_snow_02	vo_gothic_gothic_civilian_00_talk_idle_snow_02	omuk		Civilian M	cold	mumbling	Lạnh quá.	So cold.	2		0	
vo_gothic_gothic_	civilian_00_	talk_npc_00	vo_gothic_gothic_civilian_00_talk_npc_00	omuk		Civilian M	dismissive	dialog without topic	Tôi không quan tâm nó.	That doesn't concern me.	4		0	
vo_gothic_gothic_	civilian_00_	talk_npc_01	vo_gothic_gothic_civilian_00_talk_npc_01	omuk		Civilian M	aggree	dialog without topic	Biết thế đủ rồi.	That much is known.	4		0	
vo_gothic_gothic_	civilian_00_	talk_npc_02	vo_gothic_gothic_civilian_00_talk_npc_02	omuk		Civilian M	dismissive	dialog without topic	Đừng tin vào những gì mà cậu nghe thấy được.	You shouldn't believe everything you hear.	6		0	
vo_gothic_gothic_	civilian_00_	talk_npc_03	vo_gothic_gothic_civilian_00_talk_npc_03	omuk		Civilian M	disagree	dialog without topic	Tôi nghe ra thứ khác.	I have heard otherwise.	4		0	
vo_gothic_gothic_	civilian_00_	talk_npc_04	vo_gothic_gothic_civilian_00_talk_npc_04	omuk		Civilian M	aggree	dialog without topic	Nó luôn như thế mà.	That's how it's always been.	5		0	
vo_gothic_gothic_	civilian_00_	talk_npc_05	vo_gothic_gothic_civilian_00_talk_npc_05	omuk		Civilian M	dismissive	dialog without topic	Anh ta điên đó. Đừng nghe anh ta.	He's a fool. Don't listen to him.	7		0	
vo_gothic_gothic_	civilian_00_	talk_npc_06	vo_gothic_gothic_civilian_00_talk_npc_06	omuk		Civilian M	aggree	dialog without topic	Chúng ta có thể đồng ý về điều đó.	We can agree on that.	5		0	
vo_gothic_gothic_	civilian_00_	talk_npc_07	vo_gothic_gothic_civilian_00_talk_npc_07	omuk		Civilian M	anxious	dialog without topic	Cẩn thận với những gì cậu nói.	Be careful what you say.	5		0	
vo_gothic_gothic_	civilian_00_	talk_npc_08	vo_gothic_gothic_civilian_00_talk_npc_08	omuk		Civilian M	concerned	dialog without topic	Đó là cái mộ mới…	This is grave news.	4		0	
